Name,Team,Nationalaty,Position,age,Matches Played,Matches Starts,Minutes / Div By 90,Goals,Asissts,Yellows,Reds,Total Shots,Passes Attemted,Passes Total Distance,Short Passes,Medium Passes,Long Passes,Cross Passes,Head Pases,Tackeled,Tackeled Dribbels,Pressure Applying,Blocks,Shots Blocks,Clearence,Touches,Touches Defencive Penalty Area,Touches Defencive 3RD,Touches Mid 3RD,Touches Attacking 3RD,Touches Attacking Penalty Area,Touches Live Game,Dribbels Succes,Dribbels Attempted,Carries,Carries To Distance,Carries Proggresive,Carries Proggresive Foword,Carries Tackeled,Reciving Passes,Fouls Commited,Fouls Drawn,Tackele Won,looseBallRecovered,Aerial Duals Won,Aerial Duals Lost
James Furlong,Brighton,ie IRL,DF,19-201,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
James Maddison,Leicester City,eng ENG,"MF,FW",25-032,24,17,16.4,6.0,6.0,3.0,0.0,45.0,546.0,7541.0,201.0,186.0,132.0,27.0,8.0,18.0,3.0,254.0,12.0,0.0,2.0,703.0,9.0,72.0,361.0,313.0,51.0,619.0,25.0,39.0,510.0,2514.0,1345.0,77.0,15.0,620.0,11.0,52.0,13.0,70.0,5.0,11.0
James McArthur,Crystal Palace,sct SCO,MF,34-079,12,11,10.9,0.0,1.0,3.0,0.0,6.0,569.0,8794.0,210.0,236.0,92.0,13.0,14.0,25.0,11.0,247.0,24.0,7.0,25.0,698.0,36.0,158.0,411.0,166.0,19.0,669.0,11.0,17.0,467.0,2358.0,1115.0,42.0,17.0,486.0,21.0,14.0,16.0,126.0,13.0,17.0
James Mcatee,Manchester City,eng ENG,FW,19-068,2,0,0.3,0.0,0.0,0.0,0.0,2.0,4.0,55.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,3.0,3.0,3.0,6.0,1.0,1.0,6.0,26.0,23.0,1.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0
James Milner,Liverpool,eng ENG,"MF,DF",35-355,16,8,7.7,0.0,3.0,5.0,0.0,8.0,550.0,8650.0,198.0,225.0,106.0,24.0,16.0,23.0,10.0,103.0,13.0,3.0,17.0,639.0,32.0,156.0,303.0,202.0,9.0,581.0,2.0,3.0,396.0,1370.0,703.0,27.0,5.0,465.0,19.0,16.0,18.0,77.0,7.0,7.0
James Morris,Watford,eng ENG,DF,20-032,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
James Norris,Liverpool,eng ENG,DF,18-265,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
James Storer,Wolves,,GK,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
James Tarkowski,Burnley,eng ENG,DF,29-036,15,15,15.0,1.0,2.0,6.0,0.0,12.0,441.0,8133.0,102.0,182.0,148.0,0.0,67.0,24.0,10.0,113.0,36.0,26.0,67.0,618.0,119.0,302.0,285.0,50.0,31.0,611.0,2.0,4.0,245.0,1137.0,545.0,11.0,3.0,300.0,18.0,11.0,13.0,158.0,72.0,38.0
James Tomkins,Crystal Palace,eng ENG,DF,32-271,7,6,5.9,1.0,0.0,1.0,0.0,5.0,266.0,5576.0,48.0,143.0,71.0,1.0,14.0,12.0,5.0,36.0,11.0,7.0,14.0,309.0,84.0,221.0,88.0,6.0,5.0,292.0,2.0,2.0,163.0,776.0,346.0,7.0,0.0,201.0,6.0,2.0,8.0,43.0,11.0,7.0
