Name,Team,Nationalaty,Position,age,Matches Played_x,Matches Starts_x,Minutes / Div By 90_x,Goals_x,Asissts_x,Yellows_x,Reds_x,Total Shots_x,Passes Attemted_x,Passes Total Distance_x,Short Passes_x,Medium Passes_x,Long Passes_x,Cross Passes_x,Head Pases_x,Tackeled_x,Tackeled Dribbels_x,Pressure Applying_x,Blocks_x,Shots Blocks_x,Clearence_x,Touches_x,Touches Defencive Penalty Area_x,Touches Defencive 3RD_x,Touches Mid 3RD_x,Touches Attacking 3RD_x,Touches Attacking Penalty Area_x,Touches Live Game_x,Dribbels Succes_x,Dribbels Attempted_x,Carries_x,Carries To Distance_x,Carries Proggresive_x,Carries Proggresive Foword_x,Carries Tackeled_x,Reciving Passes_x,Fouls Commited_x,Fouls Drawn_x,Tackele Won_x,looseBallRecovered_x,Aerial Duals Won_x,Aerial Duals Lost_x,Matches Played_y,Matches Starts_y,Minutes / Div By 90_y,Goals_y,Asissts_y,Yellows_y,Reds_y,Total Shots_y,Passes Attemted_y,Passes Total Distance_y,Short Passes_y,Medium Passes_y,Long Passes_y,Cross Passes_y,Head Pases_y,Tackeled_y,Tackeled Dribbels_y,Pressure Applying_y,Blocks_y,Shots Blocks_y,Clearence_y,Touches_y,Touches Defencive Penalty Area_y,Touches Defencive 3RD_y,Touches Mid 3RD_y,Touches Attacking 3RD_y,Touches Attacking Penalty Area_y,Touches Live Game_y,Dribbels Succes_y,Dribbels Attempted_y,Carries_y,Carries To Distance_y,Carries Proggresive_y,Carries Proggresive Foword_y,Carries Tackeled_y,Reciving Passes_y,Fouls Commited_y,Fouls Drawn_y,Tackele Won_y,looseBallRecovered_y,Aerial Duals Won_y,Aerial Duals Lost_y
Adam Masina,17,37,0,27,10,10,8.6,0.0,0.0,0.0,0.0,5.0,356.0,5358.0,67.0,172.0,108.0,22.0,23.0,19.0,8.0,108.0,12.0,2.0,33.0,441.0,44.0,163.0,198.0,92.0,1.0,357.0,8.0,10.0,205.0,801.0,443.0,15.0,3.0,220.0,10.0,3.0,10.0,60.0,23.0,9.0,26.0,22.0,22.0,2.0,0.0,4.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,14.0,25.0,0.0,0.0,0.0
Adam Webster,3,20,0,26,9,8,6.7,1.0,0.0,2.0,0.0,3.0,520.0,8978.0,152.0,273.0,79.0,3.0,24.0,15.0,8.0,52.0,12.0,4.0,23.0,586.0,37.0,283.0,287.0,79.0,2.0,568.0,5.0,6.0,385.0,2280.0,1476.0,47.0,2.0,433.0,11.0,2.0,7.0,72.0,22.0,6.0,31.0,31.0,31.2,1.0,0.0,4.0,0.0,27.0,1794.0,32506.0,468.0,889.0,400.0,3.0,114.0,30.0,14.0,214.0,51.0,21.0,123.0,2075.0,235.0,1101.0,1001.0,194.0,33.0,2025.0,7.0,11.0,1352.0,9691.0,6347.0,162.0,14.0,1476.0,25.0,19.0,22.0,320.0,90.0,50.0
Adama Traoré,19,21,3,25,19,10,12.2,0.0,0.0,0.0,0.0,22.0,305.0,4055.0,142.0,106.0,40.0,30.0,5.0,12.0,2.0,133.0,8.0,1.0,2.0,464.0,5.0,57.0,217.0,254.0,53.0,462.0,60.0,81.0,450.0,3307.0,2086.0,91.0,34.0,574.0,11.0,37.0,10.0,63.0,11.0,22.0,41.0,30.0,31.7,3.0,2.0,5.0,0.0,48.0,878.0,9468.0,384.0,312.0,103.0,131.0,33.0,32.0,9.0,345.0,28.0,2.0,16.0,1317.0,20.0,133.0,672.0,681.0,117.0,1293.0,160.0,214.0,1143.0,8595.0,5679.0,306.0,86.0,1439.0,58.0,108.0,24.0,162.0,78.0,75.0
Ademola Lookman,9,20,5,24,16,10,9.7,3.0,1.0,1.0,0.0,15.0,310.0,3331.0,173.0,90.0,20.0,14.0,5.0,21.0,6.0,172.0,14.0,1.0,3.0,430.0,5.0,54.0,210.0,187.0,42.0,420.0,17.0,33.0,340.0,1366.0,689.0,40.0,18.0,392.0,23.0,23.0,14.0,60.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ainsley Maitland-Niles,0,20,7,24,11,4,5.3,0.0,1.0,0.0,0.0,2.0,136.0,1923.0,59.0,55.0,19.0,2.0,9.0,7.0,1.0,54.0,5.0,1.0,4.0,171.0,9.0,47.0,89.0,41.0,1.0,166.0,2.0,7.0,101.0,422.0,216.0,10.0,5.0,116.0,7.0,3.0,5.0,37.0,5.0,4.0,21.0,13.0,13.5,0.0,1.0,0.0,0.0,9.0,566.0,8141.0,272.0,206.0,67.0,14.0,17.0,22.0,11.0,161.0,20.0,4.0,20.0,683.0,36.0,198.0,313.0,223.0,24.0,625.0,12.0,21.0,440.0,2397.0,1397.0,65.0,17.0,480.0,13.0,8.0,22.0,91.0,9.0,6.0
Albert Sambi Lokonga,0,5,7,22,15,10,10.3,0.0,0.0,4.0,0.0,18.0,539.0,8780.0,221.0,217.0,86.0,3.0,20.0,19.0,7.0,108.0,15.0,6.0,10.0,635.0,26.0,179.0,357.0,136.0,2.0,620.0,3.0,4.0,432.0,2653.0,1488.0,62.0,5.0,476.0,11.0,13.0,13.0,86.0,10.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alex Iwobi,7,40,9,25,15,9,9.9,2.0,1.0,0.0,0.0,17.0,238.0,3063.0,109.0,82.0,28.0,15.0,2.0,11.0,3.0,140.0,8.0,0.0,7.0,332.0,9.0,60.0,126.0,174.0,37.0,327.0,14.0,26.0,262.0,1481.0,861.0,40.0,13.0,332.0,3.0,3.0,8.0,42.0,5.0,16.0,36.0,21.0,20.9,2.0,3.0,0.0,0.0,22.0,688.0,9911.0,242.0,291.0,113.0,64.0,7.0,33.0,14.0,224.0,22.0,1.0,12.0,880.0,25.0,193.0,419.0,363.0,46.0,849.0,46.0,71.0,698.0,4994.0,2997.0,148.0,28.0,787.0,18.0,20.0,24.0,118.0,4.0,8.0
Alex Král,18,14,7,23,4,2,2.4,0.0,0.0,0.0,0.0,1.0,73.0,1020.0,34.0,26.0,8.0,0.0,8.0,5.0,1.0,34.0,2.0,0.0,0.0,84.0,2.0,16.0,58.0,14.0,3.0,84.0,0.0,0.0,48.0,273.0,112.0,6.0,2.0,59.0,2.0,2.0,8.0,22.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alex McCarthy,15,20,6,32,15,15,15.0,0.0,0.0,1.0,0.0,0.0,450.0,8438.0,46.0,133.0,268.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,483.0,397.0,480.0,4.0,0.0,0.0,340.0,0.0,0.0,220.0,829.0,480.0,0.0,0.0,208.0,0.0,1.0,0.0,52.0,0.0,0.0,31.0,31.0,31.0,0.0,0.0,3.0,0.0,0.0,1069.0,18362.0,182.0,287.0,585.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,1.0,1145.0,891.0,1138.0,8.0,0.0,0.0,874.0,2.0,2.0,570.0,1976.0,1065.0,0.0,0.0,587.0,1.0,3.0,0.0,130.0,0.0,0.0
Alex Oxlade-Chamberlain,10,20,9,28,21,11,12.1,1.0,3.0,0.0,0.0,31.0,444.0,7496.0,153.0,173.0,101.0,25.0,14.0,23.0,4.0,161.0,14.0,2.0,7.0,565.0,10.0,75.0,314.0,236.0,28.0,545.0,15.0,22.0,422.0,2454.0,1425.0,77.0,24.0,460.0,14.0,10.0,20.0,65.0,3.0,8.0,17.0,2.0,3.3,1.0,1.0,0.0,0.0,9.0,158.0,2535.0,55.0,63.0,28.0,4.0,10.0,3.0,0.0,55.0,3.0,0.0,1.0,199.0,4.0,12.0,113.0,88.0,7.0,196.0,3.0,8.0,128.0,768.0,390.0,17.0,8.0,196.0,3.0,1.0,2.0,38.0,2.0,4.0
Alex Telles,12,7,0,29,8,7,7.0,1.0,0.0,1.0,0.0,6.0,369.0,4604.0,155.0,142.0,57.0,26.0,5.0,19.0,9.0,69.0,16.0,3.0,14.0,441.0,16.0,127.0,200.0,135.0,4.0,366.0,1.0,2.0,230.0,868.0,413.0,18.0,4.0,273.0,9.0,5.0,7.0,45.0,11.0,10.0,24.0,20.0,19.5,0.0,3.0,1.0,0.0,11.0,1039.0,13813.0,441.0,382.0,184.0,73.0,25.0,24.0,9.0,168.0,35.0,2.0,52.0,1214.0,55.0,343.0,558.0,368.0,3.0,998.0,8.0,14.0,654.0,3090.0,1883.0,65.0,19.0,806.0,25.0,16.0,17.0,113.0,22.0,18.0
Alexandre Lacazette,0,23,5,30,16,9,9.3,4.0,3.0,0.0,0.0,15.0,222.0,2431.0,120.0,62.0,22.0,6.0,7.0,13.0,4.0,151.0,8.0,2.0,1.0,314.0,0.0,40.0,144.0,148.0,46.0,306.0,9.0,14.0,191.0,756.0,440.0,19.0,9.0,336.0,24.0,16.0,9.0,35.0,11.0,25.0,43.0,28.0,27.2,17.0,3.0,4.0,0.0,57.0,650.0,7493.0,349.0,201.0,50.0,6.0,26.0,28.0,4.0,376.0,21.0,2.0,14.0,936.0,16.0,108.0,443.0,431.0,125.0,891.0,27.0,44.0,626.0,2228.0,980.0,49.0,39.0,1118.0,50.0,77.0,22.0,120.0,37.0,72.0
Alexis Mac Allister,3,2,9,23,13,4,5.4,2.0,3.0,1.0,0.0,12.0,180.0,2732.0,71.0,76.0,25.0,3.0,5.0,20.0,6.0,102.0,8.0,1.0,3.0,248.0,7.0,56.0,109.0,97.0,12.0,240.0,0.0,4.0,155.0,790.0,415.0,23.0,7.0,186.0,5.0,11.0,15.0,39.0,5.0,4.0,27.0,18.0,16.8,3.0,2.0,1.0,0.0,43.0,407.0,5542.0,182.0,148.0,48.0,17.0,13.0,25.0,7.0,267.0,20.0,3.0,5.0,554.0,10.0,102.0,252.0,240.0,38.0,544.0,15.0,25.0,378.0,1737.0,869.0,42.0,18.0,482.0,27.0,24.0,21.0,102.0,10.0,24.0
Alisson,10,7,6,29,23,23,23.0,0.0,0.0,0.0,0.0,0.0,850.0,19813.0,118.0,436.0,294.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,1.0,919.0,714.0,912.0,8.0,0.0,0.0,772.0,1.0,2.0,536.0,1844.0,998.0,0.0,0.0,511.0,0.0,1.0,0.0,153.0,0.0,0.0,42.0,42.0,42.3,1.0,0.0,1.0,0.0,1.0,1397.0,31455.0,184.0,644.0,562.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,2.0,1500.0,1186.0,1493.0,11.0,1.0,1.0,1201.0,3.0,3.0,784.0,2807.0,1545.0,0.0,0.0,806.0,1.0,7.0,0.0,203.0,0.0,1.0
Allan,7,7,7,30,15,15,14.7,0.0,1.0,2.0,0.0,3.0,561.0,8461.0,179.0,242.0,105.0,4.0,17.0,43.0,10.0,388.0,28.0,4.0,26.0,711.0,49.0,212.0,412.0,126.0,7.0,677.0,11.0,14.0,427.0,2214.0,1199.0,59.0,15.0,403.0,21.0,13.0,36.0,163.0,6.0,7.0,26.0,25.0,24.5,0.0,0.0,7.0,0.0,7.0,1048.0,16984.0,401.0,428.0,178.0,5.0,28.0,75.0,28.0,673.0,39.0,13.0,30.0,1282.0,74.0,413.0,827.0,151.0,3.0,1249.0,28.0,43.0,809.0,4950.0,2935.0,96.0,22.0,871.0,56.0,40.0,56.0,221.0,6.0,13.0
Allan Saint-Maximin,13,23,5,24,19,17,17.3,3.0,3.0,3.0,0.0,35.0,424.0,5365.0,185.0,152.0,54.0,39.0,13.0,5.0,0.0,133.0,11.0,0.0,1.0,661.0,5.0,60.0,354.0,361.0,71.0,640.0,73.0,118.0,622.0,4469.0,2921.0,139.0,65.0,697.0,9.0,43.0,4.0,101.0,11.0,19.0,26.0,19.0,17.5,3.0,4.0,0.0,0.0,30.0,436.0,5913.0,200.0,157.0,52.0,21.0,6.0,15.0,1.0,211.0,13.0,1.0,0.0,686.0,1.0,83.0,378.0,333.0,66.0,671.0,83.0,123.0,667.0,4416.0,2890.0,148.0,60.0,698.0,10.0,54.0,11.0,100.0,5.0,13.0
Alphonse Areola,18,23,6,28,8,8,8.3,0.0,0.0,0.0,0.0,1.0,128.0,2906.0,15.0,44.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0,124.0,137.0,2.0,0.0,0.0,101.0,0.0,0.0,65.0,323.0,116.0,0.0,0.0,67.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andreas Christensen,5,16,0,25,17,15,15.6,1.0,1.0,2.0,0.0,6.0,1175.0,21411.0,391.0,573.0,192.0,1.0,48.0,17.0,7.0,124.0,24.0,7.0,77.0,1328.0,134.0,551.0,757.0,94.0,7.0,1299.0,5.0,5.0,913.0,4129.0,2374.0,84.0,2.0,973.0,14.0,11.0,13.0,161.0,54.0,32.0,27.0,24.0,24.0,0.0,0.0,3.0,1.0,4.0,1488.0,28788.0,444.0,769.0,257.0,1.0,47.0,23.0,6.0,156.0,35.0,20.0,104.0,1689.0,243.0,915.0,840.0,40.0,7.0,1653.0,1.0,2.0,1134.0,5731.0,3190.0,76.0,3.0,1261.0,25.0,12.0,17.0,181.0,62.0,34.0
Andrew Omobamidele,14,30,0,19,7,6,6.2,1.0,0.0,1.0,0.0,3.0,227.0,3983.0,78.0,103.0,42.0,0.0,19.0,8.0,6.0,48.0,10.0,10.0,17.0,278.0,30.0,139.0,145.0,17.0,2.0,265.0,0.0,0.0,163.0,933.0,538.0,16.0,1.0,165.0,6.0,7.0,3.0,51.0,6.0,10.0,9.0,8.0,7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,5.0,0.0,0.0,0.0
Andrew Robertson,10,49,0,27,19,17,17.1,1.0,5.0,4.0,1.0,9.0,1354.0,19352.0,573.0,538.0,202.0,65.0,35.0,20.0,8.0,166.0,24.0,4.0,36.0,1502.0,53.0,315.0,729.0,550.0,63.0,1304.0,12.0,24.0,943.0,4286.0,2689.0,131.0,12.0,1115.0,15.0,5.0,9.0,156.0,23.0,11.0,50.0,48.0,48.3,1.0,7.0,3.0,0.0,23.0,3868.0,57074.0,1493.0,1634.0,633.0,180.0,118.0,55.0,31.0,417.0,73.0,11.0,111.0,4260.0,136.0,1018.0,1991.0,1535.0,119.0,3637.0,38.0,72.0,2739.0,13363.0,8210.0,292.0,24.0,3095.0,28.0,19.0,29.0,474.0,50.0,37.0
Andriy Yarmolenko,18,54,5,32,16,6,6.3,1.0,0.0,0.0,0.0,14.0,178.0,2604.0,82.0,68.0,22.0,13.0,5.0,6.0,3.0,62.0,4.0,1.0,2.0,232.0,5.0,30.0,99.0,121.0,27.0,228.0,3.0,8.0,172.0,964.0,531.0,27.0,9.0,257.0,7.0,9.0,5.0,21.0,4.0,3.0,21.0,7.0,9.5,3.0,4.0,3.0,0.0,20.0,157.0,2158.0,79.0,50.0,24.0,24.0,2.0,6.0,1.0,56.0,7.0,0.0,1.0,209.0,2.0,35.0,86.0,107.0,18.0,202.0,7.0,7.0,165.0,1114.0,584.0,34.0,14.0,220.0,16.0,15.0,8.0,29.0,3.0,3.0
Andros Townsend,7,20,7,30,18,17,16.1,5.0,3.0,3.0,0.0,23.0,418.0,5255.0,163.0,153.0,83.0,64.0,14.0,27.0,7.0,256.0,36.0,2.0,5.0,612.0,12.0,111.0,251.0,303.0,27.0,571.0,18.0,34.0,421.0,2403.0,1280.0,62.0,22.0,515.0,10.0,44.0,17.0,100.0,4.0,17.0,36.0,25.0,25.4,1.0,5.0,0.0,0.0,37.0,864.0,10358.0,354.0,243.0,207.0,90.0,22.0,69.0,26.0,533.0,61.0,2.0,12.0,1226.0,28.0,273.0,576.0,533.0,35.0,1136.0,44.0,68.0,853.0,6131.0,3344.0,141.0,59.0,932.0,36.0,64.0,36.0,203.0,5.0,24.0
André Gomes,7,46,7,28,8,3,3.8,0.0,2.0,2.0,0.0,12.0,93.0,1367.0,45.0,27.0,13.0,6.0,4.0,6.0,1.0,74.0,4.0,1.0,0.0,135.0,3.0,25.0,55.0,64.0,7.0,133.0,5.0,5.0,89.0,414.0,218.0,9.0,7.0,114.0,14.0,2.0,5.0,28.0,2.0,9.0,32.0,21.0,21.3,0.0,2.0,4.0,0.0,18.0,901.0,14845.0,353.0,354.0,170.0,20.0,11.0,48.0,19.0,369.0,30.0,1.0,9.0,1083.0,32.0,246.0,665.0,253.0,16.0,1068.0,26.0,41.0,795.0,3914.0,1874.0,87.0,35.0,855.0,59.0,23.0,36.0,175.0,19.0,17.0
Angelo Ogbonna,18,33,0,33,11,11,10.2,1.0,0.0,1.0,0.0,3.0,452.0,8588.0,103.0,240.0,103.0,0.0,19.0,13.0,2.0,50.0,7.0,4.0,38.0,528.0,69.0,293.0,251.0,14.0,8.0,523.0,0.0,0.0,353.0,1947.0,714.0,6.0,1.0,375.0,5.0,3.0,8.0,78.0,26.0,12.0,30.0,30.0,28.9,3.0,0.0,5.0,0.0,13.0,960.0,17791.0,214.0,511.0,216.0,3.0,59.0,27.0,4.0,218.0,41.0,15.0,167.0,1230.0,198.0,713.0,531.0,53.0,28.0,1216.0,4.0,4.0,657.0,4546.0,2008.0,38.0,4.0,738.0,31.0,12.0,20.0,227.0,77.0,36.0
