Name,Team,Nationalaty,Position,Matches Played,Matches Starts,Minutes / Div By 90,Goals,Asissts,Yellows,Reds,Total Shots,Passes Attemted,Passes Total Distance,Short Passes,Medium Passes,Long Passes,Cross Passes,Head Pases,Tackeled,Tackeled Dribbels,Pressure Applying,Blocks,Shots Blocks,Clearence,Touches,Touches Defencive Penalty Area,Touches Defencive 3RD,Touches Mid 3RD,Touches Attacking 3RD,Touches Attacking Penalty Area,Touches Live Game,Dribbels Succes,Dribbels Attempted,Carries,Carries To Distance,Carries Proggresive,Carries Proggresive Foword,Carries Tackeled,Reciving Passes,Fouls Commited,Fouls Drawn,Tackele Won,looseBallRecovered,Aerial Duals Won,Aerial Duals Lost
Alexandre Jankewitz,Southampton,ch SUI,MF,3,1,0.1,0.0,0.0,0.0,1.0,1.0,3.0,31.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,8.0,0.0,0.0,0.0,7.0,0.0,2.0,3.0,2.0,0.0,7.0,0.0,0.0,5.0,7.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0
Alexandre Lacazette,Arsenal,fr FRA,"FW,MF",43,28,27.2,17.0,3.0,4.0,0.0,57.0,650.0,7493.0,349.0,201.0,50.0,6.0,26.0,28.0,4.0,376.0,21.0,2.0,14.0,936.0,16.0,108.0,443.0,431.0,125.0,891.0,27.0,44.0,626.0,2228.0,980.0,49.0,39.0,1118.0,50.0,77.0,22.0,120.0,37.0,72.0
Alexis Mac Allister,Brighton,ar ARG,"MF,FW",27,18,16.8,3.0,2.0,1.0,0.0,43.0,407.0,5542.0,182.0,148.0,48.0,17.0,13.0,25.0,7.0,267.0,20.0,3.0,5.0,554.0,10.0,102.0,252.0,240.0,38.0,544.0,15.0,25.0,378.0,1737.0,869.0,42.0,18.0,482.0,27.0,24.0,21.0,102.0,10.0,24.0
Alfie Devine,Tottenham,eng ENG,MF,1,0,0.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
Alfie McCalmont,Leeds United,nir NIR,MF,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alfie Whiteman,Tottenham,eng ENG,GK,1,0,0.1,0.0,0.0,0.0,0.0,0.0,2.0,48.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Alireza Jahanbakhsh,Brighton,ir IRN,"FW,MF",25,10,8.9,2.0,2.0,3.0,0.0,27.0,265.0,3308.0,108.0,100.0,37.0,38.0,7.0,8.0,2.0,93.0,9.0,1.0,1.0,327.0,3.0,26.0,114.0,207.0,37.0,318.0,15.0,18.0,236.0,1221.0,767.0,42.0,7.0,341.0,19.0,10.0,9.0,41.0,4.0,13.0
Alisson,Liverpool,br BRA,GK,42,42,42.3,1.0,0.0,1.0,0.0,1.0,1397.0,31455.0,184.0,644.0,562.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,2.0,1500.0,1186.0,1493.0,11.0,1.0,1.0,1201.0,3.0,3.0,784.0,2807.0,1545.0,0.0,0.0,806.0,1.0,7.0,0.0,203.0,0.0,1.0
Allan,Everton,br BRA,MF,26,25,24.5,0.0,0.0,7.0,0.0,7.0,1048.0,16984.0,401.0,428.0,178.0,5.0,28.0,75.0,28.0,673.0,39.0,13.0,30.0,1282.0,74.0,413.0,827.0,151.0,3.0,1249.0,28.0,43.0,809.0,4950.0,2935.0,96.0,22.0,871.0,56.0,40.0,56.0,221.0,6.0,13.0
Allan Saint-Maximin,Newcastle Utd,fr FRA,"FW,MF",26,19,17.5,3.0,4.0,0.0,0.0,30.0,436.0,5913.0,200.0,157.0,52.0,21.0,6.0,15.0,1.0,211.0,13.0,1.0,0.0,686.0,1.0,83.0,378.0,333.0,66.0,671.0,83.0,123.0,667.0,4416.0,2890.0,148.0,60.0,698.0,10.0,54.0,11.0,100.0,5.0,13.0
Allan Tchaptchet,Southampton,fr FRA,DF,1,0,0.1,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
Amad Diallo,Manchester Utd,ci CIV,"FW,MF",8,2,3.0,1.0,1.0,0.0,0.0,2.0,96.0,1188.0,50.0,33.0,5.0,0.0,2.0,8.0,2.0,90.0,3.0,1.0,4.0,150.0,4.0,33.0,81.0,53.0,8.0,149.0,7.0,15.0,113.0,536.0,238.0,8.0,10.0,131.0,5.0,9.0,5.0,18.0,1.0,3.0
Andi Zeqiri,Brighton,ch SUI,"FW,DF",12,3,4.4,0.0,0.0,0.0,0.0,16.0,43.0,308.0,18.0,13.0,8.0,9.0,4.0,3.0,0.0,39.0,2.0,1.0,1.0,65.0,4.0,7.0,22.0,37.0,15.0,64.0,1.0,1.0,43.0,179.0,117.0,8.0,2.0,82.0,4.0,4.0,7.0,12.0,2.0,5.0
Andre Gray,Watford,jm JAM,FW,31,15,15.2,5.0,1.0,1.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,7.0,2.0,0.0,0.0,0.0
Andreas Christensen,Chelsea,dk DEN,DF,27,24,24.0,0.0,0.0,3.0,1.0,4.0,1488.0,28788.0,444.0,769.0,257.0,1.0,47.0,23.0,6.0,156.0,35.0,20.0,104.0,1689.0,243.0,915.0,840.0,40.0,7.0,1653.0,1.0,2.0,1134.0,5731.0,3190.0,76.0,3.0,1261.0,25.0,12.0,17.0,181.0,62.0,34.0
Andreas Søndergaard,Wolves,dk DEN,GK,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andrew Omobamidele,Norwich City,ie IRL,DF,9,8,7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,5.0,0.0,0.0,0.0
Andrew Robertson,Liverpool,sct SCO,DF,50,48,48.3,1.0,7.0,3.0,0.0,23.0,3868.0,57074.0,1493.0,1634.0,633.0,180.0,118.0,55.0,31.0,417.0,73.0,11.0,111.0,4260.0,136.0,1018.0,1991.0,1535.0,119.0,3637.0,38.0,72.0,2739.0,13363.0,8210.0,292.0,24.0,3095.0,28.0,19.0,29.0,474.0,50.0,37.0
Andriy Yarmolenko,West Ham,ua UKR,"FW,MF",21,7,9.5,3.0,4.0,3.0,0.0,20.0,157.0,2158.0,79.0,50.0,24.0,24.0,2.0,6.0,1.0,56.0,7.0,0.0,1.0,209.0,2.0,35.0,86.0,107.0,18.0,202.0,7.0,7.0,165.0,1114.0,584.0,34.0,14.0,220.0,16.0,15.0,8.0,29.0,3.0,3.0
Andros Townsend,Crystal Palace,eng ENG,"MF,FW",36,25,25.4,1.0,5.0,0.0,0.0,37.0,864.0,10358.0,354.0,243.0,207.0,90.0,22.0,69.0,26.0,533.0,61.0,2.0,12.0,1226.0,28.0,273.0,576.0,533.0,35.0,1136.0,44.0,68.0,853.0,6131.0,3344.0,141.0,59.0,932.0,36.0,64.0,36.0,203.0,5.0,24.0
André Gomes,Everton,pt POR,MF,32,21,21.3,0.0,2.0,4.0,0.0,18.0,901.0,14845.0,353.0,354.0,170.0,20.0,11.0,48.0,19.0,369.0,30.0,1.0,9.0,1083.0,32.0,246.0,665.0,253.0,16.0,1068.0,26.0,41.0,795.0,3914.0,1874.0,87.0,35.0,855.0,59.0,23.0,36.0,175.0,19.0,17.0
Andy Carroll,Newcastle Utd,eng ENG,FW,22,6,6.6,1.0,0.0,2.0,0.0,30.0,141.0,1415.0,74.0,46.0,14.0,5.0,23.0,2.0,0.0,60.0,2.0,0.0,11.0,199.0,12.0,18.0,103.0,79.0,25.0,195.0,2.0,6.0,79.0,273.0,130.0,3.0,6.0,250.0,18.0,18.0,1.0,37.0,47.0,35.0
Angelo Ogbonna,West Ham,it ITA,DF,30,30,28.9,3.0,0.0,5.0,0.0,13.0,960.0,17791.0,214.0,511.0,216.0,3.0,59.0,27.0,4.0,218.0,41.0,15.0,167.0,1230.0,198.0,713.0,531.0,53.0,28.0,1216.0,4.0,4.0,657.0,4546.0,2008.0,38.0,4.0,738.0,31.0,12.0,20.0,227.0,77.0,36.0
Anthony Driscoll-Glennon,Burnley,eng ENG,DF,3,1,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
Anthony Elanga,Manchester Utd,se SWE,FW,2,2,1.7,1.0,0.0,0.0,0.0,3.0,53.0,672.0,28.0,13.0,6.0,1.0,0.0,4.0,3.0,49.0,2.0,1.0,1.0,86.0,2.0,15.0,37.0,42.0,6.0,85.0,4.0,7.0,60.0,211.0,102.0,6.0,4.0,89.0,2.0,4.0,1.0,7.0,2.0,4.0
Anthony Gomez Mancini,Burnley,fr FRA,MF,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anthony Gordon,Everton,eng ENG,"FW,MF",7,3,3.3,0.0,3.0,0.0,0.0,12.0,26.0,365.0,13.0,8.0,4.0,2.0,0.0,3.0,0.0,18.0,2.0,0.0,1.0,45.0,2.0,14.0,15.0,18.0,3.0,44.0,3.0,7.0,37.0,212.0,116.0,4.0,4.0,39.0,2.0,9.0,4.0,9.0,1.0,2.0
Anthony Martial,Manchester Utd,fr FRA,FW,36,27,26.8,7.0,5.0,1.0,1.0,64.0,687.0,8098.0,393.0,205.0,29.0,18.0,13.0,4.0,0.0,237.0,27.0,5.0,15.0,991.0,22.0,79.0,415.0,567.0,163.0,981.0,48.0,73.0,787.0,4119.0,2255.0,127.0,60.0,1250.0,28.0,72.0,4.0,77.0,27.0,32.0
Antonio Rüdiger,Chelsea,de GER,DF,34,32,32.8,1.0,1.0,1.0,0.0,24.0,2096.0,39802.0,570.0,1087.0,407.0,1.0,33.0,38.0,13.0,246.0,35.0,19.0,135.0,2357.0,293.0,1134.0,1253.0,139.0,22.0,2313.0,5.0,11.0,1696.0,8456.0,4738.0,105.0,3.0,1847.0,32.0,19.0,26.0,238.0,79.0,31.0
Anwar El Ghazi,Aston Villa,nl NED,FW,31,20,20.8,11.0,0.0,2.0,0.0,75.0,613.0,6996.0,293.0,184.0,81.0,88.0,30.0,16.0,4.0,218.0,11.0,0.0,12.0,858.0,23.0,77.0,314.0,521.0,84.0,809.0,28.0,49.0,563.0,2925.0,1813.0,107.0,41.0,916.0,23.0,34.0,13.0,81.0,30.0,50.0
Arjan Raikhy,Aston Villa,eng ENG,MF,1,1,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0
Arthur Masuaku,West Ham,cd COD,"DF,FW",13,13,12.2,0.0,2.0,3.0,0.0,8.0,552.0,7513.0,272.0,190.0,66.0,36.0,15.0,20.0,11.0,136.0,35.0,0.0,16.0,680.0,38.0,187.0,328.0,227.0,12.0,636.0,30.0,47.0,477.0,2836.0,1894.0,77.0,17.0,497.0,15.0,10.0,14.0,101.0,10.0,17.0
Arthur Okonkwo,Arsenal,eng ENG,GK,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ashley Barnes,Burnley,eng ENG,FW,25,17,16.6,3.0,0.0,4.0,0.0,44.0,307.0,2579.0,173.0,74.0,29.0,6.0,29.0,16.0,4.0,202.0,15.0,3.0,9.0,510.0,10.0,51.0,229.0,253.0,69.0,507.0,2.0,6.0,300.0,933.0,424.0,26.0,25.0,747.0,57.0,62.0,7.0,75.0,55.0,98.0
Ashley Westwood,Burnley,eng ENG,MF,42,40,40.2,3.0,3.0,8.0,0.0,19.0,2125.0,33232.0,622.0,780.0,642.0,81.0,75.0,25.0,5.0,492.0,50.0,10.0,49.0,2379.0,66.0,414.0,1448.0,626.0,26.0,2153.0,12.0,18.0,1361.0,5347.0,2449.0,97.0,19.0,1652.0,54.0,58.0,15.0,420.0,14.0,31.0
Axel Tuanzebe,Manchester Utd,eng ENG,DF,19,9,10.3,0.0,0.0,7.0,0.0,1.0,423.0,7713.0,145.0,203.0,66.0,0.0,19.0,18.0,9.0,108.0,22.0,10.0,38.0,523.0,87.0,286.0,246.0,25.0,1.0,508.0,0.0,2.0,308.0,1707.0,805.0,25.0,2.0,335.0,17.0,7.0,15.0,80.0,13.0,10.0
Aymeric Laporte,Manchester City,es ESP,DF,27,24,25.0,2.0,0.0,5.0,0.0,15.0,1577.0,30494.0,462.0,816.0,285.0,0.0,39.0,15.0,4.0,94.0,19.0,9.0,62.0,1695.0,126.0,637.0,1126.0,78.0,11.0,1663.0,4.0,4.0,1273.0,7404.0,4851.0,177.0,2.0,1394.0,20.0,13.0,8.0,166.0,49.0,19.0
Ayoze Pérez,Leicester City,es ESP,"FW,MF",36,21,20.9,3.0,2.0,3.0,0.0,44.0,524.0,5662.0,293.0,148.0,45.0,21.0,12.0,34.0,9.0,365.0,33.0,1.0,6.0,777.0,9.0,90.0,379.0,364.0,66.0,755.0,30.0,60.0,551.0,2734.0,1656.0,97.0,32.0,758.0,46.0,43.0,22.0,100.0,11.0,42.0
Bailey Peacock-Farrell,Burnley,nir NIR,GK,8,8,8.0,0.0,0.0,0.0,0.0,0.0,113.0,3210.0,1.0,13.0,98.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,123.0,91.0,120.0,3.0,0.0,0.0,72.0,0.0,0.0,37.0,248.0,143.0,0.0,0.0,41.0,0.0,2.0,0.0,16.0,0.0,0.0
Bali Mumba,Norwich City,eng ENG,DF,6,3,3.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,5.0,0.0,0.0,0.0
Barry Douglas,Leeds United,sct SCO,DF,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
