Name,Team,Reason,Date_2022-12-26 00:00:00,Date_2022-12-27 00:00:00,Date_2022-12-28 00:00:00,Date_2022-12-29 00:00:00,Date_2022-12-30 00:00:00,Date_2022-12-31 00:00:00,Date_2022-01-01 00:00:00,Date_2022-01-02 00:00:00,Date_2022-01-03 00:00:00,Date_2022-01-04 00:00:00
Rayan Ait Nouri,Wolverhampton Wanderers,Groin/Hip/Pelvic Injury,1,1,1,1,1,1,1,1,0,0
Reece James,Chelsea,Thigh Injury,0,0,0,0,1,1,1,1,1,1
Ricardo Barbosa Pereira,Leicester City,Calf/Shin/Heel Injury,0,1,1,1,1,1,1,1,1,1
Ricardo Barbosa Pereira,Leicester City,Knee Injury,1,0,0,0,0,0,0,0,0,0
Richarlison de Andrade,Everton,Calf/Shin/Heel Injury,1,1,1,1,1,1,1,1,1,1
Rico Henry,Brentford,Thigh Injury,1,1,1,1,1,1,1,1,1,1
Rodrigo Moreno Machado,Leeds United,Calf/Shin/Heel Injury,1,1,1,1,1,1,1,1,1,1
Romelu Lukaku,Chelsea,Other,0,0,0,0,0,0,0,1,1,1
Ruben Loftus-Cheek,Chelsea,Ankle/Foot Injury,1,1,1,1,1,1,1,1,1,1
Ryan Bertrand,Leicester City,Knee Injury,0,1,1,1,1,1,1,1,1,1
Ryan Fraser,Newcastle United,Thigh Injury,0,0,0,1,1,1,1,1,1,1
Ryan Sessegnon,Tottenham Hotspur,Thigh Injury,1,1,1,1,1,1,1,1,1,1
Sead Kolasinac,Arsenal,Ankle/Foot Injury,1,1,1,1,1,1,1,1,1,1
Sergi Canos Tenes,Brentford,Thigh Injury,0,0,0,0,0,0,0,0,0,1
Steven Alzate,Brighton and Hove Albion,Ankle/Foot Injury,1,0,0,0,0,0,0,0,0,0
Steven Bergwijn,Tottenham Hotspur,Calf/Shin/Heel Injury,0,0,0,1,1,1,1,1,1,1
Takehiro Tomiyasu,Arsenal,Calf/Shin/Heel Injury,1,0,0,0,0,0,0,0,0,0
Takumi Minamino,Liverpool,Other,0,0,0,1,1,1,1,1,1,1
Teemu Pukki,Norwich City,Other,0,0,0,1,1,0,0,0,0,0
Thiago Alcantara,Liverpool,Groin/Hip/Pelvic Injury,0,0,0,0,0,1,1,1,1,1
Thiago Alcantara,Liverpool,Other,0,0,0,1,1,0,0,0,0,0
Thiago Silva,Chelsea,Thigh Injury,0,1,1,1,1,1,1,1,0,0
Tom Cleverley,Watford,Thigh Injury,0,0,1,1,1,1,0,0,0,0
Tom Davies,Everton,Knee Injury,1,1,1,1,1,1,1,1,1,1
Trevoh Chalobah,Chelsea,Thigh Injury,0,0,0,0,0,0,0,0,1,1
Valentino Livramento,Southampton,Knee Injury,0,0,0,1,1,1,1,1,1,1
Vicente Guaita,Crystal Palace,Other,0,1,0,0,0,0,0,0,0,0
Victor Lindelof,Manchester United,Chest/Abdominal Injury,1,0,0,0,0,0,0,0,0,0
Wesley Fofana,Leicester City,Ankle/Foot Injury,1,1,1,1,1,1,1,1,1,1
William Smallbone,Southampton,Calf/Shin/Heel Injury,0,0,0,1,1,1,1,1,1,1
Willy Boly,Wolverhampton Wanderers,Calf/Shin/Heel Injury,0,1,1,1,1,1,1,1,1,1
Willy Boly,Wolverhampton Wanderers,Other,1,0,0,0,0,0,0,0,0,0
Yerry Mina,Everton,Calf/Shin/Heel Injury,1,1,1,1,1,1,1,1,1,1
Yerson Mosquera,Wolverhampton Wanderers,Thigh Injury,0,1,1,1,1,1,1,1,1,1
