Name,First Name,Last Name,Team,Number of Inj,inj22,Freq Inj,inj days 20-21,inj days 19-20,inj days 18-19,Sus days 22,sus days 20-21,sus days 19-20,sus days 18-19,Career Suspension days,Career INJ days
C. Nørgaard,Christian,Christian,Brentford,1,2.0,Back Injury,0.0,0.0,0.0,3.0,0.0,14.0,0.0,17.0,2.0
David Raya,David,David,Brentford,1,69.0,Knee Injury,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0
E. Pinnock,Ethan Rupert,Ethan Rupert,Brentford,2,5.0,Ankle/Foot Injury,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
I. Toney,Ivan,Ivan,Brentford,2,19.0,Ankle/Foot Injury,0.0,0.0,0.0,0.0,0.0,36.0,7.0,81.0,40.0
J. Dasilva,Pelenda Joshua Tunga,Pelenda Joshua Tunga,Brentford,1,0.0,Groin/Pelvis Injury,0.0,0.0,0.0,0.0,12.0,0.0,0.0,12.0,179.0
J. Jeanvier,Julian,Julian,Brentford,5,0.0,Knee Injury,209.0,0.0,0.0,0.0,0.0,21.0,0.0,21.0,423.0
K. Ajer,Kristoffer,Kristoffer,Brentford,2,77.0,Ankle Fracture,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0
M. Forss,Marcus,Marcus,Brentford,0,0.0,,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0
M. Jensen,Mathias,Mathias,Brentford,3,16.0,Hamstring,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,138.0
M. Jørgensen,Mathias,Mathias,Brentford,4,57.0,Ankle/Foot Injury,0.0,0.0,43.0,0.0,0.0,0.0,15.0,32.0,108.0
M. Rasmussen,Mads,Mads,Brentford,1,17.0,Virus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0
M. Sørensen,Mads,Mads,Brentford,1,93.0,Knee Injury,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0
P. Jansson,Pontus,Pontus,Brentford,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,7.0,40.0,0.0
R. Henry,Rico,Rico,Brentford,2,13.0,Knock,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0
S. Baptiste,Shandon,Shandon,Brentford,1,46.0,Shoulder Injury,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,46.0
S. Ghoddos,Saman,Saman,Brentford,2,0.0,Appendicitis,0.0,41.0,31.0,0.0,0.0,127.0,0.0,127.0,72.0
Sergi Canós,Sergi,Sergi,Brentford,1,2.0,Knock,0.0,0.0,0.0,6.0,0.0,0.0,0.0,23.0,2.0
T. Fosu,Tarique,Tarique,Brentford,1,60.0,Knee Injury,0.0,0.0,0.0,0.0,0.0,0.0,21.0,21.0,60.0
V. Janelt,Vitaly,Vitaly,Brentford,2,23.0,Thigh Muscle Rupture,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0
Y. Wissa,Yoane,Yoane,Brentford,1,41.0,Ankle Fracture,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0
A. Connolly,Aaron Anthony,Aaron Anthony,Brighton & Hov…,6,21.0,Thigh Muscle Rupture,97.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,131.0
A. Lallana,Adam David,Adam David,Brighton & Hov…,26,11.0,Groin Strain,67.0,0.0,144.0,0.0,0.0,0.0,0.0,0.0,650.0
A. Mac Allister,Alexis,Alexis,Brighton & Hov…,3,2.0,Back Injury,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0
A. Webster,Adam,Adam,Brighton & Hov…,7,55.0,Groin/Pelvis Injury,64.0,30.0,0.0,0.0,0.0,0.0,0.0,5.0,149.0
Cucurella,Marc,Marc,Brighton & Hov…,0,0.0,,0.0,0.0,0.0,0.0,7.0,7.0,4.0,24.0,0.0
D. Burn,Dan,Dan,Brighton & Hov…,6,21.0,Thigh Muscle Rupture,24.0,36.0,0.0,0.0,0.0,0.0,0.0,26.0,222.0
D. Welbeck,Daniel Nii,Daniel Nii,Brighton & Hov…,27,109.0,Knee Injury,54.0,103.0,203.0,0.0,0.0,0.0,0.0,0.0,1471.0
E. Mwepu,Enock,Enock,Brighton & Hov…,3,41.0,Knock,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0
J. Locadia,Jürgen,Jürgen,Brighton & Hov…,9,10.0,Ankle/Foot Injury,0.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,303.0
J. Sarmiento,Jeremy Leonel,Jeremy Leonel,Brighton & Hov…,1,32.0,Thigh Muscle Rupture,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0
J. Steele,Jason,Jason,Brighton & Hov…,3,4.0,Knock,28.0,0.0,110.0,0.0,0.0,0.0,0.0,21.0,142.0
J. Veltman,Joël Ivo,Joël Ivo,Brighton & Hov…,15,15.0,Knee Injury,32.0,127.0,180.0,0.0,0.0,0.0,0.0,14.0,565.0
K. Scherpen,Kjell,Kjell,Brighton & Hov…,1,0.0,Ankle/Foot Injury,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0
L. Dunk,Lewis,Lewis,Brighton & Hov…,3,53.0,Ankle/Foot Injury,0.0,0.0,26.0,0.0,28.0,13.0,4.0,116.0,79.0
L. Trossard,Leandro,Leandro,Brighton & Hov…,4,13.0,Groin/Pelvis Injury,25.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0
N. Maupay,Neal,Neal,Brighton & Hov…,5,5.0,Knee Injury,7.0,5.0,0.0,0.0,14.0,0.0,0.0,27.0,298.0
P. Groß,Pascal,Pascal,Brighton & Hov…,2,0.0,Ankle/Foot Injury,0.0,0.0,117.0,0.0,0.0,0.0,0.0,0.0,117.0
Robert Sánchez,Robert,Robert,Brighton & Hov…,0,0.0,,0.0,0.0,0.0,14.0,0.0,0.0,0.0,14.0,0.0
S. Alzate,Steven,Steven,Brighton & Hov…,3,76.0,Ankle/Foot Injury,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164.0
S. Duffy,Shane Patrick Michael,Shane Patrick Michael,Brighton & Hov…,4,2.0,Calf/Shin Injury,0.0,35.0,0.0,11.0,0.0,0.0,18.0,35.0,37.0
S. March,Solomon,Solomon,Brighton & Hov…,6,0.0,Ankle/Foot Injury,134.0,55.0,15.0,0.0,0.0,0.0,0.0,0.0,208.0
T. Lamptey,Tariq,Tariq,Brighton & Hov…,4,37.0,Hamstring,185.0,0.0,0.0,0.0,7.0,0.0,0.0,7.0,222.0
T. Richards,Taylor,Taylor,Brighton & Hov…,1,12.0,Back Injury,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
Y. Bissouma,Yves,Yves,Brighton & Hov…,5,25.0,Hip/Thigh Injury,0.0,0.0,22.0,10.0,27.0,0.0,0.0,51.0,170.0
A. Barnes,Ashley Luke,Ashley Luke,Burnley,9,57.0,Groin/Pelvis Injury,73.0,28.0,0.0,0.0,0.0,0.0,0.0,75.0,524.0
A. Lennon,Aaron,Aaron,Burnley,21,19.0,Hamstring,0.0,19.0,175.0,0.0,0.0,0.0,0.0,0.0,721.0
