Name,First Name,Last Name,Team,Number of Inj,inj22,Freq Inj,inj days 20-21,inj days 19-20,inj days 18-19,Sus days 22,sus days 20-21,sus days 19-20,sus days 18-19,Career Suspension days,Career INJ days
A. Westwood,Ashley,Ashley,Burnley,11,13.0,Groin/Pelvis Injury,12.0,24.0,5.0,12.0,0.0,7.0,0.0,29.0,142.0
B. Mee,Ben,Ben,Burnley,8,10.0,Knock,5.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,233.0
C. Roberts,Connor,Connor,Burnley,2,66.0,Groin/Pelvis Injury,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0
C. Taylor,Charlie,Charlie,Burnley,8,0.0,Thigh Muscle Strain,73.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0
C. Wood,Christopher Grant,Christopher Grant,Burnley,14,0.0,Thigh Muscle Strain,30.0,70.0,7.0,0.0,0.0,0.0,0.0,0.0,229.0
D. McNeil,Dwight,Dwight,Burnley,5,0.0,Knock,21.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0
D. Stephens,Dale,Dale,Burnley,10,27.0,Knock,48.0,26.0,34.0,0.0,0.0,8.0,24.0,54.0,365.0
E. Pieters,Erik,Erik,Burnley,18,0.0,Knock,55.0,1.0,0.0,0.0,0.0,0.0,0.0,28.0,427.0
J. Brownhill,Josh,Josh,Burnley,4,7.0,Ankle/Foot Injury,27.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,34.0
J. Cork,Jack,Jack,Burnley,12,0.0,Ankle/Foot Injury,31.0,32.0,10.0,0.0,0.0,0.0,0.0,0.0,406.0
J. Guðmunds­son,Johann,Johann,Burnley,23,0.0,Thigh Muscle Strain,90.0,280.0,101.0,0.0,0.0,0.0,0.0,21.0,589.0
J. Rodriguez,Jay,Jay,Burnley,18,16.0,Ankle/Foot Injury,45.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,821.0
J. Tarkowski,James,James,Burnley,9,0.0,Groin Strain,13.0,0.0,42.0,12.0,0.0,0.0,0.0,38.0,192.0
K. Long,Kevin,Kevin,Burnley,7,0.0,Knee Injury,12.0,30.0,0.0,0.0,0.0,0.0,0.0,28.0,655.0
M. Cornet,Gnaly Albert Maxwel,Gnaly Albert Maxwel,Burnley,17,56.0,Thigh Muscle Strain,8.0,23.0,54.0,6.0,6.0,0.0,0.0,16.0,236.0
M. Lowton,Matthew,Matthew,Burnley,9,0.0,Knock,24.0,128.0,27.0,0.0,0.0,0.0,4.0,12.0,373.0
M. Vydra,Matěj,Matěj,Burnley,7,24.0,Back Injury,33.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0
N. Collins,Nathan Michael,Nathan Michael,Burnley,1,18.0,Knock,0.0,0.0,0.0,0.0,0.0,11.0,0.0,11.0,18.0
N. Pope,Nick,Nick,Burnley,6,2.0,Shoulder Injury,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189.0
P. Bardsley,Phil,Phil,Burnley,23,9.0,Knock,53.0,25.0,77.0,0.0,0.0,0.0,0.0,43.0,440.0
W. Hennessey,Wayne Robert,Wayne Robert,Burnley,11,5.0,Knock,169.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,317.0
A. Christensen,Andreas,Andreas,Chelsea,18,7.0,Knock,20.0,39.0,15.0,0.0,0.0,0.0,0.0,0.0,108.0
A. Rüdiger,Antonio,Antonio,Chelsea,10,8.0,Knee Injury,6.0,110.0,60.0,0.0,0.0,0.0,0.0,0.0,214.0
Azpilicueta,César,César,Chelsea,4,3.0,Hamstring,42.0,2.0,0.0,0.0,0.0,0.0,0.0,24.0,54.0
B. Chilwell,Ben,Ben,Chelsea,15,40.0,Ankle/Foot Injury,3.0,29.0,25.0,0.0,0.0,0.0,0.0,0.0,252.0
C. Hudson-Odoi,Callum,Callum,Chelsea,8,7.0,Hamstring,16.0,145.0,32.0,0.0,0.0,0.0,0.0,0.0,354.0
C. Pulisic,Christian,Christian,Chelsea,11,117.0,Calf/Shin Injury,92.0,169.0,53.0,0.0,0.0,0.0,0.0,0.0,431.0
H. Ziyech,Hakim,Hakim,Chelsea,12,9.0,Calf Muscle Strain,73.0,34.0,35.0,0.0,0.0,0.0,0.0,31.0,160.0
Jorginho,Jorge Luiz,Jorge Luiz,Chelsea,1,7.0,Knock,0.0,0.0,0.0,0.0,0.0,120.0,0.0,120.0,7.0
K. Havertz,Kai Lukas,Kai Lukas,Chelsea,9,16.0,Knock,46.0,29.0,4.0,0.0,0.0,0.0,0.0,0.0,95.0
Kepa,Kepa,Kepa,Chelsea,5,0.0,Hamstring,25.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,154.0
