Name,Team,Nationalaty,age,Matches Played_x,Matches Starts_x,Minutes / Div By 90_x,Goals_x,Asissts_x,Yellows_x,Reds_x,Total Shots_x,Passes Attemted_x,Passes Total Distance_x,Short Passes_x,Medium Passes_x,Long Passes_x,Cross Passes_x,Head Pases_x,Tackeled_x,Tackeled Dribbels_x,Pressure Applying_x,Blocks_x,Shots Blocks_x,Clearence_x,Touches_x,Touches Defencive Penalty Area_x,Touches Defencive 3RD_x,Touches Mid 3RD_x,Touches Attacking 3RD_x,Touches Attacking Penalty Area_x,Touches Live Game_x,Dribbels Succes_x,Dribbels Attempted_x,Carries_x,Carries To Distance_x,Carries Proggresive_x,Carries Proggresive Foword_x,Carries Tackeled_x,Reciving Passes_x,Fouls Commited_x,Fouls Drawn_x,Tackele Won_x,looseBallRecovered_x,Aerial Duals Won_x,Aerial Duals Lost_x,Matches Played_y,Matches Starts_y,Minutes / Div By 90_y,Goals_y,Asissts_y,Yellows_y,Reds_y,Total Shots_y,Passes Attemted_y,Passes Total Distance_y,Short Passes_y,Medium Passes_y,Long Passes_y,Cross Passes_y,Head Pases_y,Tackeled_y,Tackeled Dribbels_y,Pressure Applying_y,Blocks_y,Shots Blocks_y,Clearence_y,Touches_y,Touches Defencive Penalty Area_y,Touches Defencive 3RD_y,Touches Mid 3RD_y,Touches Attacking 3RD_y,Touches Attacking Penalty Area_y,Touches Live Game_y,Dribbels Succes_y,Dribbels Attempted_y,Carries_y,Carries To Distance_y,Carries Proggresive_y,Carries Proggresive Foword_y,Carries Tackeled_y,Reciving Passes_y,Fouls Commited_y,Fouls Drawn_y,Tackele Won_y,looseBallRecovered_y,Aerial Duals Won_y,Aerial Duals Lost_y,Position_AMF,Position_DF,Position_DMF,Position_FW,Position_GK,Position_MF,Christmas-played-games
Alex McCarthy,Southampton,1,32,15,15,15.0,0,0,1,0,0,450,8438,46,133,268,0,0,0,0,0,0,0,0,483,397,480,4,0,0,340,0,0,220,829,480,0,0,208,0,1,0,52,0,0,31,31,31.0,0,0,3,0,0,1069,18362,182,287,585,0,3,0,0,4,0,0,1,1145,891,1138,8,0,0,874,2,2,570,1976,1065,0,0,587,1,3,0,130,0,0,0,0,0,0,1,0,2
Alex Oxlade Chamberlain,Liverpool,1,28,21,11,12.1,1,3,0,0,31,444,7496,153,173,101,25,14,23,4,161,14,2,7,565,10,75,314,236,28,545,15,22,422,2454,1425,77,24,460,14,10,20,65,3,8,17,2,3.3,1,1,0,0,9,158,2535,55,63,28,4,10,3,0,55,3,0,1,199,4,12,113,88,7,196,3,8,128,768,390,17,8,196,3,1,2,38,2,4,1,0,0,0,0,0,2
Alex Telles,Manchester Utd,0,29,8,7,7.0,1,0,1,0,6,369,4604,155,142,57,26,5,19,9,69,16,3,14,441,16,127,200,135,4,366,1,2,230,868,413,18,4,273,9,5,7,45,11,10,24,20,19.5,0,3,1,0,11,1039,13813,441,382,184,73,25,24,9,168,35,2,52,1214,55,343,558,368,3,998,8,14,654,3090,1883,65,19,806,25,16,17,113,22,18,0,1,0,0,0,0,3
Alexandre Lacazette,Arsenal,0,30,16,9,9.3,4,3,0,0,15,222,2431,120,62,22,6,7,13,4,151,8,2,1,314,0,40,144,148,46,306,9,14,191,756,440,19,9,336,24,16,9,35,11,25,43,28,27.2,17,3,4,0,57,650,7493,349,201,50,6,26,28,4,376,21,2,14,936,16,108,443,431,125,891,27,44,626,2228,980,49,39,1118,50,77,22,120,37,72,1,0,0,0,0,0,2
Alexis Mac Allister,Brighton,0,23,13,4,5.4,2,3,1,0,12,180,2732,71,76,25,3,5,20,6,102,8,1,3,248,7,56,109,97,12,240,0,4,155,790,415,23,7,186,5,11,15,39,5,4,27,18,16.8,3,2,1,0,43,407,5542,182,148,48,17,13,25,7,267,20,3,5,554,10,102,252,240,38,544,15,25,378,1737,869,42,18,482,27,24,21,102,10,24,1,0,0,0,0,0,3
Alisson,Liverpool,0,29,23,23,23.0,0,0,0,0,0,850,19813,118,436,294,0,1,0,0,4,1,0,1,919,714,912,8,0,0,772,1,2,536,1844,998,0,0,511,0,1,0,153,0,0,42,42,42.3,1,0,1,0,1,1397,31455,184,644,562,0,1,0,0,5,0,0,2,1500,1186,1493,11,1,1,1201,3,3,784,2807,1545,0,0,806,1,7,0,203,0,1,0,0,0,0,1,0,2
Allan,Everton,0,30,15,15,14.7,0,1,2,0,3,561,8461,179,242,105,4,17,43,10,388,28,4,26,711,49,212,412,126,7,677,11,14,427,2214,1199,59,15,403,21,13,36,163,6,7,26,25,24.5,0,0,7,0,7,1048,16984,401,428,178,5,28,75,28,673,39,13,30,1282,74,413,827,151,3,1249,28,43,809,4950,2935,96,22,871,56,40,56,221,6,13,0,0,0,0,0,1,1
Allan Saint Maximin,Newcastle Utd,0,24,19,17,17.3,3,3,3,0,35,424,5365,185,152,54,39,13,5,0,133,11,0,1,661,5,60,354,361,71,640,73,118,622,4469,2921,139,65,697,9,43,4,101,11,19,26,19,17.5,3,4,0,0,30,436,5913,200,157,52,21,6,15,1,211,13,1,0,686,1,83,378,333,66,671,83,123,667,4416,2890,148,60,698,10,54,11,100,5,13,1,0,0,0,0,0,1
Alphonse Areola,West Ham,0,28,8,8,8.3,0,0,0,0,1,128,2906,15,44,69,0,0,0,0,0,0,0,0,139,124,137,2,0,0,101,0,0,65,323,116,0,0,67,0,0,0,13,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
Andreas Christensen,Chelsea,0,25,17,15,15.6,1,1,2,0,6,1175,21411,391,573,192,1,48,17,7,124,24,7,77,1328,134,551,757,94,7,1299,5,5,913,4129,2374,84,2,973,14,11,13,161,54,32,27,24,24.0,0,0,3,1,4,1488,28788,444,769,257,1,47,23,6,156,35,20,104,1689,243,915,840,40,7,1653,1,2,1134,5731,3190,76,3,1261,25,12,17,181,62,34,0,1,0,0,0,0,3
Andrew Omobamidele,Norwich City,0,19,7,6,6.2,1,0,1,0,3,227,3983,78,103,42,0,19,8,6,48,10,10,17,278,30,139,145,17,2,265,0,0,163,933,538,16,1,165,6,7,3,51,6,10,9,8,7.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,5,0,0,0,0,1,0,0,0,0,1
Andrew Robertson,Liverpool,0,27,19,17,17.1,1,5,4,1,9,1354,19352,573,538,202,65,35,20,8,166,24,4,36,1502,53,315,729,550,63,1304,12,24,943,4286,2689,131,12,1115,15,5,9,156,23,11,50,48,48.3,1,7,3,0,23,3868,57074,1493,1634,633,180,118,55,31,417,73,11,111,4260,136,1018,1991,1535,119,3637,38,72,2739,13363,8210,292,24,3095,28,19,29,474,50,37,0,1,0,0,0,0,2
Andriy Yarmolenko,West Ham,0,32,16,6,6.3,1,0,0,0,14,178,2604,82,68,22,13,5,6,3,62,4,1,2,232,5,30,99,121,27,228,3,8,172,964,531,27,9,257,7,9,5,21,4,3,21,7,9.5,3,4,3,0,20,157,2158,79,50,24,24,2,6,1,56,7,0,1,209,2,35,86,107,18,202,7,7,165,1114,584,34,14,220,16,15,8,29,3,3,1,0,0,0,0,0,3
Andros Townsend,Everton,1,30,18,17,16.1,5,3,3,0,23,418,5255,163,153,83,64,14,27,7,256,36,2,5,612,12,111,251,303,27,571,18,34,421,2403,1280,62,22,515,10,44,17,100,4,17,36,25,25.4,1,5,0,0,37,864,10358,354,243,207,90,22,69,26,533,61,2,12,1226,28,273,576,533,35,1136,44,68,853,6131,3344,141,59,932,36,64,36,203,5,24,0,0,0,0,0,1,1
André Gomes,Everton,0,28,8,3,3.8,0,2,2,0,12,93,1367,45,27,13,6,4,6,1,74,4,1,0,135,3,25,55,64,7,133,5,5,89,414,218,9,7,114,14,2,5,28,2,9,32,21,21.3,0,2,4,0,18,901,14845,353,354,170,20,11,48,19,369,30,1,9,1083,32,246,665,253,16,1068,26,41,795,3914,1874,87,35,855,59,23,36,175,19,17,0,0,0,0,0,1,1
Angelo Ogbonna,West Ham,0,33,11,11,10.2,1,0,1,0,3,452,8588,103,240,103,0,19,13,2,50,7,4,38,528,69,293,251,14,8,523,0,0,353,1947,714,6,1,375,5,3,8,78,26,12,30,30,28.9,3,0,5,0,13,960,17791,214,511,216,3,59,27,4,218,41,15,167,1230,198,713,531,53,28,1216,4,4,657,4546,2008,38,4,738,31,12,20,227,77,36,0,1,0,0,0,0,3
Angus Gunn,Norwich City,1,25,2,2,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Anthony Elanga,Manchester Utd,0,19,3,1,1.4,0,0,0,0,1,28,258,19,7,1,0,0,4,1,34,1,0,0,47,0,9,23,16,3,47,0,1,25,150,84,5,1,52,2,3,1,2,2,1,2,2,1.7,1,0,0,0,3,53,672,28,13,6,1,0,4,3,49,2,1,1,86,2,15,37,42,6,85,4,7,60,211,102,6,4,89,2,4,1,7,2,4,0,0,0,1,0,0,3
Anthony Gordon,Everton,1,20,15,8,8.8,0,1,1,0,13,234,2562,112,66,29,16,7,21,7,147,21,2,2,346,8,65,141,171,26,339,10,18,238,1635,919,39,11,314,13,20,14,48,7,21,7,3,3.3,0,3,0,0,12,26,365,13,8,4,2,0,3,0,18,2,0,1,45,2,14,15,18,3,44,3,7,37,212,116,4,4,39,2,9,4,9,1,2,1,0,0,0,0,0,1
Anthony Martial,Manchester Utd,0,26,10,4,4.0,1,0,0,0,7,107,1196,60,39,4,4,0,1,0,33,2,0,2,139,2,11,66,69,17,138,7,12,113,586,370,21,3,174,2,7,1,8,6,6,36,27,26.8,7,5,1,1,64,687,8098,393,205,29,18,13,4,0,237,27,5,15,991,22,79,415,567,163,981,48,73,787,4119,2255,127,60,1250,28,72,4,77,27,32,0,0,0,1,0,0,3
Antonio Rüdiger,Chelsea,0,28,23,23,23.3,2,0,5,0,33,1622,29683,495,791,314,9,47,32,16,174,29,6,64,1826,124,644,1065,253,33,1780,6,9,1316,6082,3594,119,13,1461,27,13,17,178,51,21,34,32,32.8,1,1,1,0,24,2096,39802,570,1087,407,1,33,38,13,246,35,19,135,2357,293,1134,1253,139,22,2313,5,11,1696,8456,4738,105,3,1847,32,19,26,238,79,31,0,1,0,0,0,0,3
Anwar El Ghazi,Aston Villa,0,26,10,6,5.8,3,3,2,0,11,108,1165,54,39,7,11,7,3,2,44,4,0,1,174,2,15,61,112,17,171,3,12,116,598,401,26,10,192,12,8,3,27,10,8,31,20,20.8,11,0,2,0,75,613,6996,293,184,81,88,30,16,4,218,11,0,12,858,23,77,314,521,84,809,28,49,563,2925,1813,107,41,916,23,34,13,81,30,50,1,0,0,0,0,0,2
Armando Broja,Southampton,0,20,15,8,9.0,6,0,0,0,22,126,888,75,36,3,7,27,8,1,140,8,1,4,224,4,17,104,119,37,222,8,18,127,887,624,22,20,359,18,12,8,31,33,66,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
Arthur Masuaku,West Ham,0,28,12,8,7.5,1,0,0,0,4,281,3560,133,115,25,30,14,18,5,76,10,1,7,354,16,94,166,113,8,321,13,18,227,951,525,27,9,227,8,3,14,47,10,6,13,13,12.2,0,2,3,0,8,552,7513,272,190,66,36,15,20,11,136,35,0,16,680,38,187,328,227,12,636,30,47,477,2836,1894,77,17,497,15,10,14,101,10,17,0,0,1,0,0,0,3
Ashley Barnes,Burnley,1,32,10,4,4.8,0,0,2,0,10,89,892,50,23,10,1,6,6,1,63,3,1,1,136,2,13,71,61,22,133,1,3,84,274,115,7,7,193,15,10,5,28,19,29,25,17,16.6,3,0,4,0,44,307,2579,173,74,29,6,29,16,4,202,15,3,9,510,10,51,229,253,69,507,2,6,300,933,424,26,25,747,57,62,7,75,55,98,0,0,0,1,0,0,1
Ashley Fletcher,Watford,1,26,5,2,2.3,2,0,0,0,11,12,88,8,2,2,1,2,2,1,9,1,1,0,18,1,5,6,8,1,18,0,1,7,29,15,1,0,29,6,3,3,7,2,7,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
Ashley Westwood,Burnley,1,31,14,14,13.6,0,4,5,0,7,646,9475,202,240,182,22,16,19,7,215,8,3,10,737,24,120,433,211,12,658,6,9,412,1575,740,22,8,486,16,15,16,130,3,7,42,40,40.2,3,3,8,0,19,2125,33232,622,780,642,81,75,25,5,492,50,10,49,2379,66,414,1448,626,26,2153,12,18,1361,5347,2449,97,19,1652,54,58,15,420,14,31,0,0,0,0,0,1,1
Ashley Young,Aston Villa,1,36,13,8,9.1,0,2,1,0,8,297,4192,129,106,52,14,11,13,4,69,5,3,13,368,19,93,177,122,13,327,5,8,219,1052,681,28,5,284,14,20,6,43,6,11,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
Asmir Begović,Everton,0,34,3,3,3.0,0,0,0,0,0,23,453,0,5,18,0,0,0,0,0,0,0,1,25,24,25,0,0,0,12,0,0,5,24,16,0,0,8,0,1,0,2,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Axel Tuanzebe,Aston Villa,1,24,11,8,7.6,0,0,1,0,2,227,4287,55,115,53,1,15,8,2,47,5,4,13,263,41,161,112,7,3,257,0,0,155,908,419,4,0,179,7,4,6,43,12,11,19,9,10.3,0,0,7,0,1,423,7713,145,203,66,0,19,18,9,108,22,10,38,523,87,286,246,25,1,508,0,2,308,1707,805,25,2,335,17,7,15,80,13,10,0,1,0,0,0,0,2
Aymeric Laporte,Manchester City,0,27,17,17,15.7,1,0,6,1,21,1351,27628,360,721,258,2,49,17,8,81,14,3,43,1459,126,579,939,77,26,1431,1,3,1069,6795,4762,165,1,1200,8,7,10,130,31,19,27,24,25.0,2,0,5,0,15,1577,30494,462,816,285,0,39,15,4,94,19,9,62,1695,126,637,1126,78,11,1663,4,4,1273,7404,4851,177,2,1394,20,13,8,166,49,19,0,1,0,0,0,0,3
Ayoze Pérez,Leicester City,0,28,11,6,4.9,1,3,0,1,11,175,2109,94,58,13,6,7,7,0,89,9,0,2,246,3,36,122,107,23,241,4,12,162,680,332,24,7,227,4,5,5,28,6,11,36,21,20.9,3,2,3,0,44,524,5662,293,148,45,21,12,34,9,365,33,1,6,777,9,90,379,364,66,755,30,60,551,2734,1656,97,32,758,46,43,22,100,11,42,1,0,0,0,0,0,2
Bali Mumba,Norwich City,1,20,3,2,2.3,0,0,0,0,0,10,99,6,2,2,0,1,1,0,12,2,0,5,19,8,12,4,3,0,19,0,1,9,53,19,1,0,9,0,1,1,2,0,1,6,3,3.0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,5,0,0,0,0,1,0,0,0,0,1
Ben Chilwell,Chelsea,1,25,12,9,9.7,3,1,0,0,21,455,5604,201,170,61,20,11,17,3,120,11,0,16,561,11,107,187,288,36,458,2,5,316,1423,680,32,7,391,15,20,11,52,10,14,42,39,37.2,4,7,4,0,36,2324,30494,997,884,341,124,77,65,22,443,91,4,90,2750,90,755,1195,984,101,2384,24,47,1698,8652,5076,209,41,2003,44,60,48,261,55,46,0,0,1,0,0,0,3
Ben Davies,Tottenham,0,28,14,12,13.1,0,1,2,0,5,296,4366,92,148,42,8,22,12,2,69,5,3,14,347,28,130,180,61,11,329,0,1,216,1119,593,35,1,250,13,7,11,45,7,8,35,28,29.3,1,2,2,0,9,1421,20323,554,584,237,48,65,37,13,297,38,7,106,1654,116,551,844,369,27,1404,11,19,908,4388,2655,103,8,1027,35,24,25,225,63,38,0,1,0,0,0,0,3
Ben Foster,Watford,1,38,9,9,9.0,0,1,0,0,0,275,6894,13,46,216,0,0,0,0,2,0,0,3,297,236,294,4,0,0,200,0,0,121,756,489,0,0,112,0,1,0,40,0,0,23,23,23.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,2
Ben Gibson,Norwich City,1,28,14,14,13.7,0,0,3,1,6,730,14845,153,364,201,0,39,10,3,68,29,15,81,882,161,529,373,37,14,854,1,3,541,2923,1928,50,3,613,7,5,8,91,37,13,29,28,28.2,0,1,5,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,14,11,0,0,0,0,1,0,0,0,0,1
Ben Godfrey,Everton,1,23,15,15,14.5,0,0,3,0,12,436,6132,142,204,75,9,31,34,9,177,36,14,50,605,83,286,249,104,16,547,2,4,293,1686,823,27,6,315,12,7,15,95,25,25,39,37,38.3,0,2,5,0,21,1302,21710,428,621,206,10,59,56,25,370,85,39,135,1668,230,899,757,146,21,1552,8,14,928,6135,3461,80,15,1024,25,22,39,238,71,36,0,1,0,0,0,0,1
Ben Johnson,West Ham,1,21,14,13,12.8,1,0,0,0,3,522,7316,183,207,106,26,19,21,9,104,28,5,25,626,52,222,297,145,6,525,6,13,348,1859,809,29,6,368,6,0,15,77,10,8,20,10,11.4,1,0,2,0,5,219,2655,94,66,40,35,7,9,5,81,10,2,14,277,20,78,127,96,4,253,6,9,164,992,620,29,8,183,12,9,12,44,5,6,0,1,0,0,0,0,3
