age,Matches Played_x,Asissts_x,Passes Attemted_x,Cross Passes_x,Head Pases_x,Tackeled_x,Blocks_x,Shots Blocks_x,Clearence_x,Touches_x,Touches Defencive Penalty Area_x,Touches Defencive 3RD_x,Touches Attacking Penalty Area_x,Touches Live Game_x,Dribbels Succes_x,Carries_x,Carries To Distance_x,Carries Tackeled_x,Tackele Won_x,looseBallRecovered_x,Aerial Duals Won_x,Matches Played_y,Goals_y,Passes Total Distance_y,Medium Passes_y,Long Passes_y,Cross Passes_y,Tackeled_y,Tackeled Dribbels_y,Blocks_y,Shots Blocks_y,Clearence_y,Touches_y,Touches Defencive Penalty Area_y,Touches Mid 3RD_y,Touches Attacking 3RD_y,Touches Live Game_y,Carries_y,Tackele Won_y,looseBallRecovered_y,Aerial Duals Won_y,Position_AMF,Position_FW,Position_MF,Christmas-played-games,Number of Inj,inj22,inj days 20-21,Career Suspension days,Ankle/Foot Injury,Knee Injury,Thigh Muscle Strain,Groin/Pelvis Injury,Illness,Virus,Calf/Shin Injury,Back Injury,Hip/Thigh Injury,Thigh Muscle Rupture,Shoulder Injury,Head Injury,Concussion,Sprained Ankle,Rib Injury
25,19,0.0,25.0,2.459016393442623,0.4098360655737705,0.9836065573770492,0.6557377049180328,0.0819672131147541,0.1639344262295082,38.03278688524591,0.4098360655737705,0.3829615694705724,4.344262295081967,37.8688524590164,0.403117441547971,36.885245901639344,271.0655737704918,2.78688524590164,0.819672131147541,5.163934426229509,0.9016393442622952,41.0,0.0946372239747634,298.67507886435334,9.842271293375395,3.249211356466877,4.132492113564669,1.0094637223974765,0.2839116719242902,0.8832807570977919,0.0630914826498422,0.5047318611987381,41.54574132492114,0.6309148264984227,21.198738170347003,21.482649842271293,40.78864353312303,36.056782334384856,0.7570977917981073,5.110410094637224,2.460567823343849,0,1,0,1,11.0,0.0,5.0,118.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
24,16,0.1030927835051546,31.958762886597945,1.4432989690721651,0.5154639175257733,2.164948453608248,1.4432989690721651,0.1030927835051546,0.3092783505154639,44.3298969072165,0.5154639175257733,0.573918588585397,4.329896907216496,43.29896907216495,0.1806780741842916,35.05154639175258,140.82474226804123,1.855670103092784,1.4432989690721651,6.185567010309279,0.2061855670103093,26.02409638554217,0.1386780964446625,549.18750471994,14.510431914945642,5.891398535196147,1.1303097830068394,1.3067883759815464,0.446269292763659,1.1871713644295208,0.248475379596458,1.598907951586417,44.63473734398348,2.586851531435644,22.472171352628425,12.750352428851643,42.07614686053053,28.95655853593513,1.0635468480755534,6.072473474675151,1.2223551207371144,1,0,0,2,8.0,16.0,9.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,11,0.1886792452830188,25.660377358490567,0.3773584905660377,1.69811320754717,1.3207547169811322,0.9433962264150944,0.1886792452830188,0.7547169811320755,32.264150943396224,1.69811320754717,1.6731933072267713,0.1886792452830188,31.32075471698113,0.0711997152011392,19.056603773584907,79.62264150943396,0.9433962264150944,0.9433962264150944,6.981132075471699,0.9433962264150944,21.0,0.0,603.0370370370371,15.25925925925926,4.962962962962963,1.037037037037037,1.6296296296296295,0.8148148148148148,1.4814814814814814,0.2962962962962963,1.4814814814814814,50.5925925925926,2.6666666666666665,23.185185185185187,16.51851851851852,46.2962962962963,32.592592592592595,1.6296296296296295,6.7407407407407405,0.6666666666666666,0,0,1,2,8.0,4.0,11.0,9.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,15,0.0,52.33009708737864,0.2912621359223301,1.9417475728155336,1.844660194174757,1.4563106796116505,0.5825242718446602,0.9708737864077668,61.6504854368932,2.524271844660194,1.68724667734942,0.1941747572815534,60.19417475728155,0.0282778772740126,41.94174757281553,257.5728155339806,0.4854368932038834,1.262135922330097,8.349514563106796,0.9708737864077668,26.02409638554217,0.1386780964446625,549.18750471994,14.510431914945642,5.891398535196147,1.1303097830068394,1.3067883759815464,0.446269292763659,1.1871713644295208,0.248475379596458,1.598907951586417,44.63473734398348,2.586851531435644,22.472171352628425,12.750352428851643,42.07614686053053,28.95655853593513,1.0635468480755534,6.072473474675151,1.2223551207371144,0,0,1,2,1.0,9.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,15,0.101010101010101,24.04040404040404,1.5151515151515151,0.202020202020202,1.1111111111111112,0.8080808080808081,0.0,0.7070707070707071,33.535353535353536,0.9090909090909092,0.6121824303642485,3.7373737373737375,33.03030303030303,0.1428425670849913,26.464646464646464,149.59595959595958,1.3131313131313131,0.8080808080808081,4.242424242424242,0.5050505050505051,36.0,0.0956937799043062,474.2105263157895,13.923444976076556,5.406698564593301,3.062200956937799,1.5789473684210529,0.6698564593301436,1.0526315789473686,0.0478468899521531,0.5741626794258373,42.10526315789474,1.1961722488038278,20.047846889952154,17.36842105263158,40.622009569378,33.397129186602875,1.1483253588516746,5.645933014354068,0.1913875598086124,1,0,0,1,9.0,21.0,0.0,0.0,1.0,0.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,4,0.0,30.416666666666668,0.0,3.333333333333333,2.083333333333333,0.8333333333333334,0.0,0.0,35.0,0.8333333333333334,2.777777777777778,1.25,35.0,0.0,20.0,113.75,0.8333333333333334,3.333333333333333,9.166666666666668,0.4166666666666667,26.02409638554217,0.1386780964446625,549.18750471994,14.510431914945642,5.891398535196147,1.1303097830068394,1.3067883759815464,0.446269292763659,1.1871713644295208,0.248475379596458,1.598907951586417,44.63473734398348,2.586851531435644,22.472171352628425,12.750352428851643,42.07614686053053,28.95655853593513,1.0635468480755534,6.072473474675151,1.2223551207371144,0,0,1,3,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,21,0.2479338842975206,36.69421487603306,2.066115702479339,1.15702479338843,1.900826446280992,1.15702479338843,0.1652892561983471,0.578512396694215,46.69421487603306,0.8264462809917356,0.512260091523803,2.31404958677686,45.04132231404959,0.1024520183047606,34.87603305785124,202.8099173553719,1.983471074380165,1.6528925619834711,5.371900826446281,0.2479338842975206,17.0,0.303030303030303,768.1818181818182,19.090909090909093,8.484848484848484,1.2121212121212122,0.9090909090909092,0.0,0.9090909090909092,0.0,0.303030303030303,60.30303030303031,1.2121212121212122,34.24242424242424,26.666666666666668,59.3939393939394,38.78787878787879,0.6060606060606061,11.515151515151516,0.6060606060606061,1,0,0,2,20.0,0.0,121.0,0.0,2.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
29,8,0.0,52.71428571428572,3.7142857142857135,0.7142857142857143,2.7142857142857144,2.2857142857142856,0.4285714285714285,2.0,63.0,2.2857142857142856,2.591836734693877,0.5714285714285714,52.285714285714285,0.0204081632653061,32.857142857142854,124.0,0.5714285714285714,1.0,6.428571428571429,1.5714285714285714,24.0,0.0,708.3589743589744,19.58974358974359,9.435897435897436,3.743589743589744,1.2307692307692308,0.4615384615384615,1.794871794871795,0.1025641025641025,2.6666666666666665,62.256410256410255,2.8205128205128207,28.615384615384617,18.871794871794872,51.17948717948718,33.53846153846154,0.8717948717948718,5.794871794871795,1.1282051282051282,0,0,0,3,2.0,0.0,26.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,16,0.3225806451612903,23.87096774193548,0.6451612903225806,0.7526881720430108,1.3978494623655913,0.8602150537634408,0.2150537634408602,0.1075268817204301,33.76344086021505,0.0,0.4624812117007746,4.946236559139785,32.90322580645161,0.1040582726326742,20.53763440860215,81.29032258064515,0.9677419354838708,0.9677419354838708,3.7634408602150535,1.182795698924731,43.0,0.625,275.4779411764706,7.389705882352941,1.8382352941176472,0.2205882352941176,1.0294117647058825,0.1470588235294117,0.7720588235294118,0.0735294117647058,0.5147058823529412,34.411764705882355,0.5882352941176471,16.286764705882355,15.845588235294118,32.75735294117647,23.014705882352946,0.8088235294117647,4.411764705882353,1.3602941176470589,1,0,0,2,14.0,0.0,20.0,28.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0
23,13,0.5555555555555555,33.33333333333333,0.5555555555555555,0.9259259259259258,3.7037037037037033,1.4814814814814814,0.1851851851851851,0.5555555555555555,45.92592592592592,1.2962962962962965,1.9204389574759944,2.222222222222222,44.44444444444444,0.0,28.703703703703702,146.29629629629628,1.2962962962962965,2.7777777777777777,7.222222222222221,0.9259259259259258,27.0,0.1785714285714285,329.88095238095235,8.809523809523808,2.857142857142857,1.011904761904762,1.488095238095238,0.4166666666666666,1.1904761904761905,0.1785714285714285,0.2976190476190476,32.976190476190474,0.5952380952380952,15.0,14.285714285714285,32.38095238095238,22.5,1.25,6.071428571428571,0.5952380952380952,1,0,0,3,3.0,2.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
