Name,Team,Number of Inj,inj22,Freq Inj,inj days 20-21,inj days 19-20,inj days 18-19,Sus days 22,sus days 20-21,sus days 19-20,sus days 18-19,Career Suspension days,Career INJ days,Suspended,Knock,Hamstring,Ankle/Foot Injury,Knee Injury,Thigh Muscle Strain,Groin/Pelvis Injury,Illness,Virus,Calf/Shin Injury,Groin Strain,Back Injury,Hip/Thigh Injury,Calf Muscle Strain,Thigh Muscle Rupture,Shoulder Injury,Head Injury,Foot Injury,ACL Knee Ligament Injury,Ankle Ligaments,MCL Knee Ligament Injury,Concussion,Sprained Ankle,Rib Injury,Toe Injury,Achilles tendonitis,Thumb / Wrist Injury
Ashley Young,Aston Villa,22,10,Ankle/Foot Injury,0,0,5,0,0,8,15,40,643,6,5,2,5,3,0,2,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1
Asmir Begović,Everton,5,0,Ankle/Foot Injury,0,0,13,0,0,0,0,0,84,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Axel Tuanzebe,Aston Villa,4,9,Ankle/Foot Injury,0,110,0,0,0,0,0,0,242,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aymeric Laporte,Manchester City,19,17,Knock,41,275,16,11,0,0,0,90,564,13,8,2,0,2,0,1,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Ayoze Pérez,Leicester City,4,16,Calf/Shin Injury,28,12,0,26,0,0,0,32,56,2,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bali Mumba,Norwich City,1,16,Knee Injury,0,0,0,0,0,0,0,0,16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ben Chilwell,Chelsea,15,0,Ankle/Foot Injury,3,29,25,0,0,0,0,0,253,0,1,0,4,3,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ben Davies,Tottenham Hotspur,10,0,Ankle/Foot Injury,70,91,26,0,0,0,0,5,303,1,0,0,2,0,0,1,0,0,0,1,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0
Ben Foster,Watford,8,22,Ankle/Foot Injury,0,0,0,0,0,0,0,0,566,0,0,0,2,1,0,2,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Ben Gibson,Norwich City,3,0,Groin/Pelvis Injury,0,188,89,8,0,0,0,34,277,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ben Godfrey,Everton,6,35,Groin/Pelvis Injury,11,44,0,0,0,21,0,21,90,2,0,1,0,1,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Ben Johnson,West Ham United,2,20,Calf/Shin Injury,0,0,7,0,0,0,0,0,27,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ben Mee,Burnley,8,10,Knock,5,0,0,0,0,0,0,17,233,2,2,0,0,1,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Ben White,Arsenal,1,15,Knock,0,0,0,0,4,0,0,4,15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benjamin Mendy,Manchester City,16,0,Hip/Thigh Injury,39,43,176,270,0,0,0,335,760,9,3,2,0,4,1,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Bernardo Silva,Manchester City,6,3,Knock,19,0,17,0,0,11,0,23,62,3,3,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bernd Leno,Arsenal,2,7,Hip/Thigh Injury,0,0,0,0,4,0,0,4,74,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bertrand Traoré,Aston Villa,9,108,Thigh Muscle Strain,31,0,0,0,0,0,0,7,234,1,1,0,0,1,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Billy Gilmour,Norwich City,3,5,Ankle/Foot Injury,0,0,0,0,0,0,0,0,190,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boubakary Soumaré,Leicester City,1,0,Ankle/Foot Injury,0,7,0,0,0,12,0,12,7,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brandon Williams,Norwich City,2,0,Head Injury,22,4,0,0,0,0,0,0,26,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Bruno André Cavaco Jordão,Wolverhampton …,1,0,Ankle/Foot Injury,0,9,0,0,0,0,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bruno Fernandes,Manchester United,1,1,Knock,0,0,0,5,0,0,0,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bryan Gil Salvatierra,Tottenham Hotspur,6,45,Knock,31,14,0,0,7,0,0,7,90,1,2,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Bryan Mbeumo,Brentford,2,3,Calf/Shin Injury,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Bukayo Saka,Arsenal,8,3,Thigh Muscle Strain,30,12,0,0,0,0,0,0,45,0,0,0,1,1,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Callum Hudson Odoi,Chelsea,8,7,Hamstring,16,145,32,0,0,0,0,0,354,0,1,2,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Callum Wilson,Newcastle United,14,48,Hamstring,110,12,70,0,0,10,0,17,720,2,0,6,0,1,1,0,0,0,1,0,0,0,0,2,0,1,0,2,0,0,0,0,0,0,0,0
Calum Chambers,Arsenal,12,0,Knock,5,0,22,0,0,5,0,25,536,3,4,0,2,0,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Caoimhín Kelleher,Liverpool,1,0,Knock,83,0,0,0,0,0,0,0,83,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carney Chukwuemeka,Aston Villa,1,17,Groin/Pelvis Injury,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cenk Tosun,Everton,6,0,Knee Injury,35,40,0,0,0,0,0,0,440,0,0,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Charlie Cresswell,Leeds United,1,0,Shoulder Injury,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Charlie Goode,Brentford,1,0,Thigh Muscle Rupture,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Charlie Taylor,Burnley,8,0,Thigh Muscle Strain,73,30,0,0,0,0,0,0,170,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Che Adams,Southampton,4,24,Groin/Pelvis Injury,28,0,0,0,0,0,0,33,52,2,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Cheikhou Kouyaté,Crystal Palace,18,0,Knock,3,15,36,0,0,0,0,5,310,1,6,2,4,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Chris Wood,Burnley,14,0,Thigh Muscle Strain,30,70,7,0,0,0,0,0,229,0,1,3,1,0,4,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Christian Benteke,Crystal Palace,17,0,Knee Injury,25,49,144,0,2,14,0,51,565,4,1,1,2,5,1,1,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Christian Kabasele,Watford,9,51,Knock,0,11,22,0,0,25,14,45,362,4,4,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Christian Nørgaard,Brentford,1,2,Back Injury,0,0,0,3,0,14,0,17,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Christian Pulisic,Chelsea,11,117,Calf/Shin Injury,92,169,53,0,0,0,0,0,431,0,1,2,1,0,1,2,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Christoph Zimmermann,Norwich City,5,0,Ankle/Foot Injury,0,130,0,0,0,0,0,0,290,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Christos Tzolis,Norwich City,2,29,Calf/Shin Injury,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ciaran Clark,Newcastle United,20,0,Ankle/Foot Injury,43,32,91,3,0,0,0,23,620,5,3,0,5,5,1,0,1,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Cole Palmer,Manchester City,1,0,Virus,19,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Connor Roberts,Burnley,2,42,Groin/Pelvis Injury,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Conor Coady,Wolverhampton …,1,0,Virus,19,0,0,0,0,0,0,16,19,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Conor Gallagher,Crystal Palace,1,0,Knock,0,0,0,0,13,0,0,13,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Craig Cathcart,Watford,11,0,Knee Injury,0,31,0,0,0,0,0,0,484,0,1,0,0,4,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Craig Dawson,West Ham United,7,0,Head Injury,0,19,0,0,7,0,0,24,141,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0
Cristian Romero,Tottenham Hotspur,4,19,Knee Injury,0,0,0,0,0,0,0,0,66,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cristiano Ronaldo,Manchester United,12,0,Knee Injury,0,0,0,0,0,0,0,72,142,4,3,2,1,3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Curtis Jones,Liverpool,4,25,Head Injury,14,0,0,0,0,0,0,0,96,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Cédric Soares,Arsenal,11,0,Ankle/Foot Injury,31,202,16,0,0,0,0,0,352,0,1,1,2,1,0,0,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
César Azpilicueta,Chelsea,4,3,Hamstring,42,2,0,0,0,0,0,24,54,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Dale Stephens,Burnley,10,0,Knock,48,26,34,0,0,8,24,54,365,6,3,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Dan Burn,Brighton & Hov…,6,21,Thigh Muscle Rupture,24,36,0,0,0,0,0,26,222,4,1,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0
Dan Gosling,Watford,13,37,Knee Injury,0,0,72,0,0,0,0,16,975,1,1,1,0,6,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Dane Scarlett,Tottenham Hotspur,2,17,Ankle/Foot Injury,0,0,0,0,0,0,0,0,42,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daniel Amartey,Leicester City,5,16,Ankle/Foot Injury,75,0,0,0,0,0,0,0,759,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daniel Bachmann,Watford,2,12,Hamstring,0,28,0,0,0,0,0,0,40,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daniel James,Leeds United,6,0,Knock,22,13,0,0,0,0,0,0,55,0,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daniel Podence,Wolverhampton …,5,12,Groin Strain,88,0,0,0,0,0,0,0,210,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Danny Ings,Aston Villa,15,34,Hamstring,106,0,105,0,0,0,0,0,713,0,4,5,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Danny Rose,Watford,29,0,Ankle/Foot Injury,0,37,79,0,0,7,0,139,796,4,4,5,5,5,0,0,1,0,0,1,1,0,3,0,0,0,0,1,0,0,0,0,1,0,0,1
Danny Ward,Leicester City,3,0,Knock,0,0,3,0,0,0,0,0,44,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Danny Welbeck,Brighton & Hov…,27,109,Knee Injury,54,103,203,0,0,0,0,0,1471,0,2,5,2,10,1,0,1,0,0,3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Darren Randolph,West Ham United,4,0,Groin Strain,99,0,0,0,0,0,0,3,109,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
David Edward Martin,West Ham United,1,0,Thigh Muscle Strain,0,25,0,0,0,0,0,0,25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
David Raya,Brentford,1,0,Knee Injury,0,0,0,0,0,0,0,0,70,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
David de Gea,Manchester United,7,0,Knee Injury,34,3,0,0,0,0,0,0,70,0,1,1,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Davinson Sánchez,Tottenham Hotspur,4,11,Knock,0,5,71,0,0,0,0,14,87,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dean Henderson,Manchester United,1,0,Hip/Thigh Injury,15,0,0,0,0,0,0,17,15,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Declan Rice,West Ham United,3,9,Knee Injury,42,0,13,2,0,0,0,2,64,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dele Alli,Tottenham Hotspur,15,0,Hamstring,18,49,96,0,0,2,0,29,207,3,3,4,1,1,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Demarai Gray,Everton,7,5,Achilles tendonitis,10,13,29,0,0,0,0,0,97,0,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Diego Llorente,Leeds United,12,34,Groin/Pelvis Injury,126,36,112,0,0,19,0,160,331,10,1,2,1,1,1,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Dimitris Giannoulis,Norwich City,1,10,Back Injury,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diogo Dalot,Manchester United,6,0,Knock,0,127,50,0,0,0,0,0,258,0,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diogo Jota,Liverpool,10,5,Knock,85,45,55,0,0,0,0,0,190,0,5,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Divock Origi,Liverpool,14,1,Ankle/Foot Injury,61,12,24,0,0,0,0,0,210,0,3,1,4,2,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominic Calvert Lewin,Everton,9,33,Ankle/Foot Injury,42,0,29,0,0,0,0,0,307,0,1,1,2,0,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Donny van de Beek,Manchester United,4,0,Knock,45,30,0,0,0,0,0,0,141,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Douglas Luiz,Aston Villa,6,41,Hamstring,0,0,63,0,6,0,8,14,109,2,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dwight Gayle,Newcastle United,15,8,Hamstring,97,156,0,0,0,0,0,91,518,2,0,4,1,1,3,0,2,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Dwight McNeil,Burnley,5,0,Knock,21,21,0,0,0,0,0,0,42,0,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eberechi Eze,Crystal Palace,4,0,Calf/Shin Injury,4,0,0,0,0,0,0,0,173,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eddie Nketiah,Arsenal,1,33,Ankle/Foot Injury,0,0,0,0,0,11,0,11,33,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ederson,Manchester City,6,1,Knock,16,28,0,0,0,2,0,2,47,1,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
