Name,Number of Inj,inj22,Freq Inj,inj days 20-21,inj days 19-20,inj days 18-19,Sus days 22,sus days 20-21,sus days 19-20,sus days 18-19,Career Suspension days,Career INJ days,Suspended,Knock,Hamstring,Ankle/Foot Injury,Knee Injury,Thigh Muscle Strain,Groin/Pelvis Injury,Illness,Virus,Calf/Shin Injury,Groin Strain,Back Injury,Hip/Thigh Injury,Calf Muscle Strain,Thigh Muscle Rupture,Shoulder Injury,Head Injury,Foot Injury,ACL Knee Ligament Injury,Ankle Ligaments,MCL Knee Ligament Injury,Concussion,Sprained Ankle,Rib Injury,Toe Injury,Achilles tendonitis,Thumb / Wrist Injury
Jason Steele,3,0,23,28,0,110,0,0,0,0,21,142,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Javier Manquillo,10,3,23,54,59,25,6,0,0,0,6,225,1,3,0,2,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Jay Rodriguez,18,14,5,45,27,0,0,0,0,0,0,822,0,3,0,4,2,2,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
Jaïro Riedewald,9,0,22,16,6,24,0,0,0,0,6,154,1,3,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jean Philippe Gbamin,7,17,27,46,239,26,0,0,0,0,16,660,2,1,0,0,1,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jean Philippe Mateta,2,0,22,0,0,1,0,0,70,0,70,137,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jed Steer,3,13,13,0,220,0,0,0,0,0,0,233,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jeff Hendrick,2,0,27,6,0,0,0,9,6,0,40,35,4,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jeffrey Schlupp,16,21,23,100,115,0,0,0,0,0,3,611,1,6,4,3,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Jeremy Ngakia,1,0,21,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jeremy Sarmiento,1,0,26,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Jesse Lingard,17,14,17,60,35,74,0,0,0,0,15,384,2,3,5,1,2,0,1,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Joachim Andersen,4,23,5,16,0,0,0,0,0,0,13,79,2,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Joe Gomez,10,40,5,258,1,129,0,0,0,0,0,879,0,2,0,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Joe Rodon,1,32,23,0,0,0,0,0,0,0,0,32,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joe Willock,4,13,13,2,12,0,0,0,0,0,0,35,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joel Ward,13,0,23,46,54,23,5,0,0,0,5,322,1,5,0,1,2,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Joelinton,9,0,5,14,23,55,0,0,0,0,0,92,0,2,0,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
John McGinn,2,5,5,0,166,0,0,4,0,17,21,171,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
John Ruddy,1,0,20,0,0,0,0,0,0,0,0,152,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
John Stones,22,13,23,10,97,38,0,0,0,0,0,407,0,6,2,3,2,2,1,1,0,0,2,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
Jonathan Castro Otto,4,0,22,183,103,25,0,0,0,0,54,602,8,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jonjo Shelvey,24,64,17,51,75,129,6,0,0,0,152,490,13,4,6,0,3,4,2,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Jonjoe Kenny,4,0,4,29,18,42,0,0,7,0,7,89,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Jonny Evans,52,63,5,63,6,30,0,3,0,2,58,736,5,8,7,9,3,3,2,2,1,4,0,4,4,1,1,0,0,1,0,0,0,0,0,0,1,0,0
Jordan Ayew,3,0,23,10,0,10,0,0,0,0,208,27,11,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan Henderson,28,20,5,102,20,42,0,0,0,8,30,607,2,3,3,5,2,2,2,2,0,1,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0
Jordan Pickford,5,5,1,48,0,0,0,0,0,0,4,122,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Jorginho,1,7,23,0,0,0,0,0,120,0,120,7,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Josh Brownhill,4,5,5,27,0,0,0,0,0,4,4,35,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Josh Sargent,4,14,7,0,30,0,0,15,0,0,15,44,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joshua King,27,9,17,9,173,43,0,0,0,0,0,367,0,1,11,5,1,0,1,1,0,0,0,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
João Cancelo,4,0,14,16,0,0,3,5,0,0,56,109,7,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
João Moutinho,14,0,5,33,0,0,0,3,0,0,9,219,2,2,0,2,0,2,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0
João Pedro,1,43,22,0,0,0,0,0,0,0,0,43,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joël Matip,17,0,23,250,143,30,0,0,0,0,0,583,0,5,0,4,1,1,1,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Joël Veltman,15,9,22,32,127,180,0,0,0,0,14,565,3,2,2,0,5,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Juan Camilo Hernández Suárez,4,0,17,99,100,9,0,23,3,8,40,208,5,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Juan Mata,3,0,16,43,0,19,0,0,0,0,7,91,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Julian Jeanvier,5,0,22,209,0,0,0,0,21,0,21,424,1,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Juraj Kucka,1,13,27,0,0,0,13,0,0,0,13,13,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jóhann Berg Guðmundsson,23,0,27,90,280,101,0,0,0,0,21,589,1,1,5,1,2,7,1,0,0,1,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0
Jürgen Locadia,9,0,5,0,4,8,0,0,0,0,0,304,0,1,1,3,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kai Havertz,9,5,23,46,29,4,0,0,0,0,0,95,0,2,1,0,1,0,0,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Kalvin Phillips,5,17,13,69,0,0,0,10,28,23,94,112,9,0,1,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Karl Darlow,10,0,5,55,11,106,0,0,0,0,0,360,0,2,0,3,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Kasper Schmeichel,6,0,5,0,0,0,0,0,0,0,0,258,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Keinan Davis,5,82,27,37,115,0,0,0,0,0,0,234,0,0,0,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kelechi Iheanacho,7,16,28,0,4,0,0,0,0,0,0,69,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0
Ken Sema,1,39,22,0,0,0,0,0,0,0,0,39,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenny McLean,1,0,7,0,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kepa Arrizabalaga,5,0,17,25,0,3,0,0,0,0,0,154,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Kevin De Bruyne,19,48,17,63,23,159,0,0,0,0,0,377,0,3,4,3,3,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kevin Long,7,0,22,12,30,0,0,0,0,0,28,655,3,1,0,1,2,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Kieran Dowell,1,7,21,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kieran Tierney,8,18,16,87,139,0,0,0,0,0,0,244,0,1,0,1,2,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Kiko Femenía,14,25,23,0,60,53,0,0,0,0,20,260,2,6,4,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Kjell Scherpen,1,0,5,0,0,0,0,0,0,0,0,56,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kortney Hause,4,0,5,166,21,0,0,0,0,0,0,187,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Kostas Tsimikas,3,0,20,94,0,0,0,0,0,0,0,94,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kristoffer Ajer,2,5,3,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Kurt Zouma,14,0,22,5,0,0,2,0,0,17,87,368,3,3,2,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0
Kwadwo Kyeremeh Baah,1,0,5,0,0,0,0,0,0,0,0,104,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyle Walker,13,2,23,15,18,6,0,0,0,0,12,355,3,4,0,3,0,0,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyle Walker Peters,6,0,17,38,34,0,0,0,0,0,0,103,0,1,2,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leander Dendoncker,3,0,23,26,0,29,0,0,0,0,19,55,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leandro Trossard,4,9,16,25,47,0,0,0,0,0,0,85,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lee Grant,2,0,23,0,137,0,0,0,0,0,0,186,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Leon Bailey,7,58,17,32,54,40,0,6,57,0,75,217,5,2,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Lewis Dunk,3,0,5,0,0,26,0,28,13,4,116,79,14,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liam Cooper,8,0,16,106,11,0,0,21,0,0,98,168,6,1,1,1,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Loris Karius,3,0,10,14,13,0,0,0,0,0,0,69,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucas Digne,13,2,22,46,33,20,0,7,0,0,18,185,3,1,2,0,3,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
Lucas Moura,14,20,23,8,2,24,0,0,0,0,6,186,1,4,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0
Luka Milivojević,5,28,23,23,8,0,0,28,23,0,54,61,5,2,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lukas Rupp,3,0,5,0,0,0,0,0,0,0,0,508,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Luke Ayling,1,77,22,0,0,0,0,0,0,14,40,77,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luke Shaw,29,36,5,32,89,56,0,0,0,31,34,915,3,6,4,6,1,1,0,2,0,1,2,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0
Lyanco,1,0,29,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mads Bech Sørensen,1,93,22,0,0,0,0,0,0,0,0,93,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mads Roerslev,1,0,29,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mahmoud Ahmed Ibrahim Hassan,2,0,19,52,0,0,0,0,16,0,16,295,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Malang Sarr,4,0,7,0,55,4,0,0,0,0,2,71,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Manuel Lanzini,16,1,27,55,55,19,0,0,0,0,7,632,2,2,1,1,3,4,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
Marc Albrighton,11,29,15,0,12,69,0,0,0,0,13,466,2,2,1,1,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marc Cucurella,0,0,30,0,0,0,0,7,7,4,24,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marcos Alonso,8,16,5,0,28,27,0,0,0,0,15,272,2,1,2,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marcus Bettinelli,1,0,22,0,0,119,0,0,0,0,8,119,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marcus Forss,0,0,30,0,0,0,0,0,7,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marcus Rashford,16,1,5,31,147,21,0,0,0,24,24,263,1,3,0,5,0,0,2,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0
Mark Gillespie,0,0,30,0,0,0,0,0,0,0,11,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mark Noble,24,0,5,63,37,11,0,0,0,14,410,347,6,1,3,4,2,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2
Martin Dúbravka,5,0,5,133,0,0,0,0,0,0,0,242,0,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martin Kelly,14,0,13,52,66,24,0,0,0,0,0,610,0,2,2,0,1,1,2,0,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Martin Ødegaard,10,0,22,62,15,9,0,0,0,0,0,188,0,1,0,1,2,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
Martinelli,6,1,23,9,15,0,0,0,0,0,0,194,0,2,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marvelous Nakamba,3,7,16,0,0,0,0,0,0,7,36,132,4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mason Greenwood,10,7,23,36,18,46,0,0,0,0,0,107,0,4,0,1,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mason Holgate,6,0,5,49,8,0,24,0,0,0,41,158,2,0,0,3,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mason Mount,3,7,5,0,4,0,0,0,0,0,0,11,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mateo Kovačić,17,50,23,36,116,33,0,3,4,0,13,320,3,6,0,1,1,3,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Mateusz Klich,4,17,11,4,0,0,0,0,0,0,6,45,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mathias Jensen,3,16,17,0,0,76,0,0,0,0,0,138,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
